车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3027,普快,郑州,14:13,渑池,当天17:44,17:49,乌鲁木齐南,13:15
3028/3029,普快,乌鲁木齐南,15:25,渑池,第3日17:19,17:34,郑州,20:50
3927,普快,商丘,07:33,渑池,当天13:37,13:41,乌鲁木齐南,06:18
K1025/K1028,快速,兰州,23:56,渑池,第2日15:03,15:14,青岛,07:48
K177,快速,郑州,15:30,渑池,当天18:03,18:06,西宁,09:43
K237/K240,快速,太原,23:15,渑池,第2日10:21,10:24,深圳西,13:40
K2666/K2667,快速,苏州,15:30,渑池,第2日08:37,08:41,临汾,16:23
K375/K378,快速,西宁,21:05,渑池,第2日14:16,14:19,上海,05:24
K4301/K4304,快速,北京西,02:08,渑池,当天15:19,15:24,重庆,12:23
K4315,快速,呼和浩特东,19:59,渑池,第2日14:00,14:03,福州,16:18
K4537/K4540,快速,灵宝,16:08,渑池,当天18:04,18:09,上海,15:19
K5349,快速,洛阳,11:20,渑池,当天12:48,12:51,灵宝,15:08
K5387,快速,洛阳,09:36,渑池,当天10:29,10:34,灵宝,12:13
K5388,快速,灵宝,13:20,渑池,当天15:26,15:29,洛阳,16:23
K645/K648,快速,广州,10:28,渑池,第2日09:53,09:55,西安,14:50
K646/K647,快速,西安,16:20,渑池,当天20:57,20:59,广州,20:50
K819,快速,北京西,07:12,渑池,当天18:16,18:19,重庆北,09:17
K820,快速,重庆北,21:40,渑池,第2日10:53,10:56,北京西,21:23
K869,快速,郑州,13:34,渑池,当天16:25,16:28,成都,13:37
