车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1462,普快,上海,12:18,明光,当天18:09,18:12,北京,10:46
K172/K173,快速,上海,13:09,明光,当天20:00,20:16,日照,06:07
K1805/K1808,快速,银川,17:18,明光,第2日20:56,21:01,杭州,06:29
K187/K190,快速,沈阳北,12:20,明光,第2日11:01,11:04,上海,16:04
K345/K348,快速,温州,18:20,明光,第2日08:55,08:58,沈阳北,08:12
K371/K374,快速,太原,16:13,明光,第2日08:37,09:09,上海,15:10
K516/K517,快速,上海,09:16,明光,当天14:32,14:35,吉林,17:50
K557/K560,快速,上海,14:49,明光,当天20:43,20:46,延安,15:13
K5701,快速,徐州,08:22,明光,当天11:11,11:15,南京,13:10
K5818,快速,南京,12:40,明光,当天14:05,14:08,徐州,16:58
K5822/K5823,快速,南京,06:54,明光,当天08:20,08:25,徐州,11:20
K8371,快速,徐州,18:42,明光,当天23:19,23:22,江山,14:33
K8385/K8388,快速,亳州,09:59,明光,当天16:37,16:41,上海,22:22
K8386/K8387,快速,上海,23:13,明光,第2日04:16,04:31,阜阳,09:10
K8427,快速,淮北,14:32,明光,当天17:28,17:32,上海,22:57
K91/K94,快速,泰州,13:15,明光,当天16:11,16:14,深圳东,14:15
K92/K93,快速,深圳东,18:06,明光,第2日17:16,17:19,泰州,20:19
