车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2727,普快,大连,10:05,穆棱,第2日05:35,05:39,绥芬河,06:33
2728,普快,绥芬河,16:05,穆棱,当天16:56,16:59,大连,11:26
4045,普快,牡丹江,17:40,穆棱,当天18:32,18:35,绥芬河,19:36
4046,普快,绥芬河,06:23,穆棱,当天07:22,08:04,牡丹江,09:02
K5123,快速,香坊,21:30,穆棱,第2日05:49,06:08,绥芬河,06:55
K5151,快速,牡丹江,05:29,穆棱,当天06:07,06:09,绥芬河,06:51
K5152,快速,绥芬河,07:45,穆棱,当天08:27,08:30,牡丹江,09:08
K5153,快速,牡丹江,09:35,穆棱,当天10:13,10:15,绥芬河,11:02
K5154,快速,绥芬河,11:36,穆棱,当天12:23,12:26,牡丹江,13:04
K5157,快速,牡丹江,17:20,穆棱,当天17:58,18:02,绥芬河,18:49
K5171,快速,牡丹江,06:13,穆棱,当天06:51,06:54,绥芬河,07:41
K5173,快速,牡丹江,10:20,穆棱,当天11:04,11:07,绥芬河,11:55
K5174,快速,绥芬河,13:09,穆棱,当天13:57,13:59,牡丹江,14:37
K5175,快速,牡丹江,16:01,穆棱,当天16:39,16:42,绥芬河,17:30
K7005/K7008,快速,佳木斯,07:11,穆棱,当天20:20,20:23,绥芬河,21:18
K7023,快速,哈尔滨东,22:36,穆棱,第2日04:18,04:24,绥芬河,05:22
K7048,快速,八面通,15:25,穆棱,当天16:20,16:38,哈尔滨东,22:25
K7142,快速,绥芬河,06:10,穆棱,当天07:03,07:05,牡丹江,07:43
K7143,快速,牡丹江,06:13,穆棱,当天06:51,06:54,绥芬河,07:42
K7144,快速,绥芬河,08:12,穆棱,当天09:00,09:02,牡丹江,09:40
K7145,快速,牡丹江,08:12,穆棱,当天08:50,08:53,绥芬河,09:40
K7146,快速,绥芬河,10:08,穆棱,当天10:55,10:57,牡丹江,11:35
K7157,快速,牡丹江,10:08,穆棱,当天10:51,10:53,绥芬河,11:40
K7158,快速,绥芬河,12:15,穆棱,当天13:02,13:04,牡丹江,13:42
K7159,快速,牡丹江,12:30,穆棱,当天13:08,13:11,绥芬河,13:58
K7160,快速,绥芬河,15:22,穆棱,当天16:09,16:11,牡丹江,16:49
K7161,快速,牡丹江,15:55,穆棱,当天16:33,16:36,绥芬河,17:23
K7162,快速,绥芬河,17:51,穆棱,当天18:38,18:40,牡丹江,19:18
K7164,快速,绥芬河,19:13,穆棱,当天20:00,20:02,牡丹江,20:40
K7172/K7173,快速,香坊,13:29,穆棱,当天18:58,19:28,鸡西,22:09
K7195,快速,香坊,14:28,穆棱,当天19:47,19:50,绥芬河,20:43
K7196,快速,绥芬河,07:30,穆棱,当天08:29,08:33,香坊,13:49
T5001,空调特快,牡丹江,05:29,穆棱,当天06:00,06:03,绥芬河,06:40
T5002,空调特快,绥芬河,07:08,穆棱,当天07:45,07:47,牡丹江,08:18
T5003,空调特快,牡丹江,06:39,穆棱,当天07:10,07:13,绥芬河,07:51
T5005,空调特快,牡丹江,09:06,穆棱,当天09:37,09:40,绥芬河,10:18
T5006,空调特快,绥芬河,10:48,穆棱,当天11:25,11:27,牡丹江,11:58
T5007,空调特快,牡丹江,10:20,穆棱,当天10:56,10:59,绥芬河,11:37
T5008,空调特快,绥芬河,13:26,穆棱,当天14:04,14:06,牡丹江,14:37
T5009,空调特快,牡丹江,12:26,穆棱,当天12:57,13:00,绥芬河,13:38
T5011,空调特快,牡丹江,16:00,穆棱,当天16:31,16:34,绥芬河,17:12
