车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2061,普快,大连,13:44,讷河,第2日08:55,09:00,加格达奇,13:56
2667,普快,沈阳,15:08,讷河,第2日03:33,03:45,加格达奇,09:22
4075,普快,哈尔滨东,09:58,讷河,当天18:37,18:41,加格达奇,23:51
4076,普快,加格达奇,08:36,讷河,当天14:36,14:43,哈尔滨东,23:05
K497,快速,北京,13:36,讷河,第2日10:44,10:49,加格达奇,15:19
K5117,快速,齐齐哈尔,13:51,讷河,当天16:17,16:33,加格达奇,20:05
K5118,快速,加格达奇,06:56,讷河,当天10:14,10:24,齐齐哈尔,13:02
K5149,快速,齐齐哈尔,08:15,讷河,当天10:43,10:43,讷河,10:43
K5150,快速,讷河,12:29,讷河,当天12:29,12:29,齐齐哈尔,15:18
K7042,快速,漠河,20:05,讷河,第2日06:22,06:24,哈尔滨,11:55
K7050,快速,加格达奇,19:05,讷河,第2日00:42,00:45,哈尔滨西,07:00
K7068/K7069,快速,牡丹江,13:26,讷河,第2日01:36,01:38,加格达奇,05:50
K7101/K7104,快速,加格达奇,08:03,讷河,当天12:32,12:36,哈尔滨,17:56
K7105/K7108,快速,嫩江,06:39,讷河,当天07:53,07:57,牡丹江,19:22
K7150,快速,加格达奇,08:12,讷河,当天13:48,13:53,一面坡,22:59
