车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2461/2464,普快,临汾,18:40,宁武,第2日02:06,02:10,包头,12:00
2462/2463,普快,包头,16:14,宁武,第2日00:54,00:58,临汾,08:40
2671,普快,大同,16:40,宁武,当天19:22,19:29,西安,08:51
2672,普快,西安,22:53,宁武,第2日12:54,12:58,大同,15:27
4615,普快,宁武,17:38,宁武,当天17:38,17:38,太原,21:15
4616/4617,普快,太原,08:29,宁武,当天12:13,12:13,宁武,12:13
6819,普快,宁武,12:38,宁武,当天12:38,12:38,岢岚,14:32
6820,普快,岢岚,15:17,宁武,当天17:11,17:11,宁武,17:11
6823,普慢,大同,13:06,宁武,当天16:32,16:32,宁武,16:32
6824,普慢,宁武,14:46,宁武,当天14:46,14:46,大同,18:15
6826,普慢,宁武,10:47,宁武,当天10:47,10:47,大同,14:16
6833,普快,宁武,16:38,宁武,当天16:38,16:38,岢岚,18:57
6834,普慢,岢岚,12:18,宁武,当天14:40,14:40,宁武,14:40
6836,普慢,岢岚,08:30,宁武,当天10:41,10:41,宁武,10:41
8819,普快,宁武,12:38,宁武,当天12:38,12:38,岢岚,14:32
8820,普快,岢岚,15:17,宁武,当天17:11,17:11,宁武,17:11
8823,普快,大同,13:03,宁武,当天16:32,16:32,宁武,16:32
8824,普快,宁武,09:12,宁武,当天09:12,09:12,大同,12:41
8833,普快,宁武,16:38,宁武,当天16:38,16:38,岢岚,18:57
8834,普快,岢岚,07:00,宁武,当天09:06,09:06,宁武,09:06
K729/K732,快速,广州东,14:50,宁武,第3日03:01,03:05,大同,05:27
K730/K731,快速,大同,14:20,宁武,当天16:52,16:57,广州东,05:26
K7807,快速,大同,06:20,宁武,当天08:45,08:50,运城,19:17
K7808,快速,运城,07:50,宁武,当天17:35,17:40,大同,20:12
