车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D7701,动车组,大连北,07:54,皮口,当天08:54,08:56,丹东,10:36
D7710,动车组,丹东,17:20,皮口,当天18:53,18:55,大连北,19:38
D7713,动车组,大连北,14:07,皮口,当天14:43,14:45,丹东,16:13
D7719,动车组,大连北,17:30,皮口,当天18:24,18:26,丹东,19:59
D7724,动车组,庄河北,06:55,皮口,当天07:24,07:26,大连,08:46
D7739/D7742,动车组,沈阳,06:54,皮口,当天10:21,10:23,大连北,11:18
D7740/D7741,动车组,大连,06:23,皮口,当天07:30,07:32,沈阳,11:14
D7743/D7746,动车组,沈阳,10:45,皮口,当天14:07,14:09,大连北,14:58
D7747/D7750,动车组,沈阳,11:54,皮口,当天15:16,15:18,大连北,16:07
D7748/D7749,动车组,大连北,16:27,皮口,当天17:21,17:23,沈阳,20:58
D7751/D7754,动车组,沈阳,13:21,皮口,当天16:35,16:37,大连北,17:20
D7752/D7753,动车组,大连北,17:50,皮口,当天18:38,18:40,沈阳,21:58
D7756/D7757,动车组,大连北,11:44,皮口,当天12:38,12:40,沈阳,16:36
