车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1095,普快,太原,19:10,平遥,当天20:38,20:41,兰州西,15:04
1096,普快,兰州西,16:27,平遥,第2日11:49,11:53,太原,13:29
2095,普快,太原,19:10,平遥,当天20:43,20:48,西安,07:03
2096,普快,西安,19:00,平遥,第2日05:09,05:28,太原南,07:00
2461/2464,普快,临汾,18:40,平遥,当天21:19,21:23,包头,12:00
2462/2463,普快,包头,16:14,平遥,第2日05:52,05:54,临汾,08:40
2671,普快,大同,16:40,平遥,第2日00:11,00:14,西安,08:51
2672,普快,西安,22:53,平遥,第2日07:24,07:28,大同,15:27
4611,普快,太原,07:09,平遥,当天09:48,09:54,介休,10:26
4612,普快,介休,15:23,平遥,当天15:50,15:53,太原,17:47
4631,普快,太原,18:06,平遥,当天19:37,19:42,临汾,22:22
K1886/K1887,快速,张家界,16:16,平遥,第2日16:59,17:03,太原,18:30
K237/K240,快速,太原,23:15,平遥,第2日00:33,00:36,深圳西,13:40
K4097,快速,北京西,01:35,平遥,当天16:55,16:59,临汾,19:43
K5321,快速,太原,16:05,平遥,当天17:33,17:36,临汾,20:13
K5322,快速,临汾,08:15,平遥,当天10:50,10:53,太原,12:30
K5325,快速,太原,19:10,平遥,当天20:38,20:41,河津,01:07
K5326,快速,河津,06:27,平遥,当天11:14,11:18,太原,12:52
K603,快速,北京,17:12,平遥,第2日04:52,04:56,运城,09:55
K604,快速,运城,12:36,平遥,当天17:40,17:43,北京,05:33
K609,快速,北京,23:53,平遥,第2日09:29,09:34,韩城,15:28
K690,快速,重庆北,07:47,平遥,第2日03:38,03:41,太原,05:22
K7807,快速,大同,06:20,平遥,当天14:08,14:12,运城,19:17
K7808,快速,运城,07:50,平遥,当天12:55,12:58,大同,20:12
K865/K868,快速,唐山,19:46,平遥,第2日09:08,09:12,临汾,11:51
K866/K867,快速,运城,13:32,平遥,当天18:33,18:37,唐山,07:12
