车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D3561,动车组,贵阳北,07:16,钦州东,当天13:55,13:57,北海,14:40
D3563,动车组,贵阳北,08:16,钦州东,当天14:38,14:40,北海,15:16
D3570,动车组,北海,15:10,钦州东,当天15:51,15:53,贵阳北,22:49
D3661/D3664,动车组,北海,10:14,钦州东,当天10:55,10:57,广州南,15:53
D3662/D3663,动车组,广州南,14:56,钦州东,当天19:57,19:59,北海,20:46
D3682,动车组,广州南,11:43,钦州东,当天16:52,16:52,钦州东,16:52
D3689/D3692,动车组,钦州东,17:15,钦州东,当天17:15,17:15,广州南,22:36
D3701/D3704,动车组,北海,10:15,钦州东,当天10:56,10:58,广州南,15:51
D3702/D3703,动车组,广州南,07:12,钦州东,当天12:13,12:15,北海,12:58
D3705/D3708,动车组,北海,08:10,钦州东,当天08:46,08:48,广州南,13:59
D3706/D3707,动车组,广州南,09:06,钦州东,当天13:49,13:51,北海,14:27
D3709,动车组,北海,09:25,钦州东,当天10:01,10:03,广州南,15:03
D3710,动车组,广州南,09:24,钦州东,当天14:15,14:18,北海,15:01
D3711/D3714,动车组,广州南,13:03,钦州东,当天18:10,18:12,北海,18:55
D3712/D3713,动车组,北海,09:25,钦州东,当天10:01,10:03,广州南,15:03
D3715/D3718,动车组,广州南,14:43,钦州东,当天19:54,19:56,北海,20:32
D3717,动车组,北海,13:16,钦州东,当天13:57,14:00,广州南,19:04
D3719/D3722,动车组,广州南,14:43,钦州东,当天19:54,19:56,北海,20:32
D3720/D3721,动车组,北海,14:53,钦州东,当天15:34,15:36,广州南,20:36
D3724,动车组,北海,14:53,钦州东,当天15:34,15:36,广州南,20:36
D3725/D3728,动车组,北海,15:20,钦州东,当天16:01,16:03,广州南,21:00
D3726/D3727,动车组,广州南,15:55,钦州东,当天21:00,21:02,北海,21:45
D3729/D3732,动车组,北海,17:04,钦州东,当天17:45,17:47,广州南,23:10
D3733/D3736,动车组,北海,16:40,钦州东,当天17:21,17:23,广州南,23:04
D3734/D3735,动车组,广州南,10:12,钦州东,当天15:09,15:12,北海,15:56
D3951/D3954,动车组,昆明南,10:03,钦州东,当天15:56,15:58,北海,16:34
D3952/D3953,动车组,北海,14:02,钦州东,当天14:43,14:46,昆明南,20:37
D3956/D3957,动车组,北海,15:32,钦州东,当天16:13,16:15,昆明南,21:49
D8246,动车组,北海,08:00,钦州东,当天08:36,08:38,贺州,13:51
D8247,动车组,柳州,06:35,钦州东,当天09:02,09:04,北海,09:59
D8248,动车组,北海,19:55,钦州东,当天20:36,20:38,柳州,23:28
D8252,动车组,北海,19:52,钦州东,当天20:27,20:29,柳州,23:19
D8253,动车组,柳州,08:00,钦州东,当天10:33,10:35,北海,11:11
D8256,动车组,北海,21:00,钦州东,当天21:41,21:43,南宁东,22:29
D8260,动车组,北海,14:22,钦州东,当天15:03,15:05,南宁,15:58
D8261,动车组,桂林,08:00,钦州东,当天11:30,11:32,北海,12:13
D8262,动车组,北海,08:44,钦州东,当天09:25,09:27,桂林,13:15
