车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1564/1565,普快,青岛,17:22,青岛,当天17:22,17:22,郑州,07:24
5013/5016,普快,菏泽,06:12,青岛,当天17:57,17:57,青岛,17:57
5022/5023,普快,青岛,20:32,青岛,当天20:32,20:32,曹县,07:39
5025/5028,普快,曹县,21:36,青岛,第2日07:26,07:26,青岛,07:26
5035/5038,普快,青岛,19:29,青岛,当天19:29,19:29,枣庄西,07:02
C6501/C6504,城际高速,荣成,15:53,青岛,当天18:33,18:33,青岛,18:33
C6502/C6503,城际高速,青岛,08:00,青岛,当天08:00,08:00,荣成,10:30
C6505/C6508,城际高速,荣成,13:00,青岛,当天15:47,15:47,青岛,15:47
C6506/C6507,城际高速,青岛,13:06,青岛,当天13:06,13:06,荣成,15:32
C6509/C6512,城际高速,荣成,17:53,青岛,当天20:30,20:30,青岛,20:30
C6510/C6511,城际高速,青岛,17:05,青岛,当天17:05,17:05,荣成,19:46
C6513/C6516,城际高速,荣成,09:35,青岛,当天12:35,12:35,青岛,12:35
C6521/C6524,城际高速,烟台,15:57,青岛,当天18:10,18:10,青岛,18:10
C6522/C6523,城际高速,青岛,18:51,青岛,当天18:51,18:51,烟台,20:48
C6595/C6598,城际高速,威海,08:00,青岛,当天10:35,10:35,青岛,10:35
D6001,动车组,济南,06:00,青岛,当天08:40,08:40,青岛,08:40
D6002,动车组,青岛,05:45,青岛,当天05:45,05:45,济南,08:32
D6003,动车组,济南,07:07,青岛,当天09:48,09:48,青岛,09:48
D6004,动车组,青岛,08:54,青岛,当天08:54,08:54,济南,11:56
D6005,动车组,济南西,08:28,青岛,当天11:49,11:49,青岛,11:49
D6006,动车组,青岛,10:08,青岛,当天10:08,10:08,济南,12:49
D6008,动车组,青岛,13:29,青岛,当天13:29,13:29,济南,16:15
D6009,动车组,济南,14:50,青岛,当天17:31,17:31,青岛,17:31
D6011,动车组,济南,19:05,青岛,当天21:57,21:57,青岛,21:57
D6012,动车组,青岛,19:47,青岛,当天19:47,19:47,济南西,23:01
D6013,动车组,济南东,17:16,青岛,当天19:56,19:56,青岛,19:56
D6014,动车组,青岛,15:36,青岛,当天15:36,15:36,济南西,18:37
D6015,动车组,济南,19:05,青岛,当天21:51,21:51,青岛,21:51
D6016,动车组,青岛,19:47,青岛,当天19:47,19:47,济南西,23:01
D6017,动车组,济南东,19:54,青岛,当天22:38,22:38,青岛,22:38
D6018,动车组,青岛,19:47,青岛,当天19:47,19:47,济南西,23:00
D6023,动车组,济南东,17:16,青岛,当天19:56,19:56,青岛,19:56
D6026,动车组,青岛,12:21,青岛,当天12:21,12:21,济南东,14:55
D9433,动车组,济南西,08:47,青岛,当天11:50,11:50,青岛,11:50
D9435/D9438,动车组,青岛,18:46,青岛,当天18:46,18:46,滕州东,22:38
D9453,动车组,济南,15:05,青岛,当天17:50,17:50,青岛,17:50
G171,高速动车,天津西,10:51,青岛,当天15:29,15:29,青岛,15:29
G172,高速动车,青岛,09:01,青岛,当天09:01,09:01,天津西,13:21
G173,高速动车,天津西,13:51,青岛,当天18:27,18:27,青岛,18:27
G174,高速动车,青岛,16:06,青岛,当天16:06,16:06,天津西,20:39
G175,高速动车,北京南,06:21,青岛,当天11:14,11:14,青岛,11:14
G177,高速动车,北京南,07:25,青岛,当天12:12,12:12,青岛,12:12
G178,高速动车,青岛,07:00,青岛,当天07:00,07:00,北京南,11:51
G179,高速动车,北京南,09:35,青岛,当天14:10,14:10,青岛,14:10
G180,高速动车,青岛,07:10,青岛,当天07:10,07:10,北京南,12:01
G181,高速动车,北京南,10:45,青岛,当天15:40,15:40,青岛,15:40
G183,高速动车,北京南,11:53,青岛,当天16:50,16:50,青岛,16:50
G184,高速动车,青岛,09:29,青岛,当天09:29,09:29,北京南,14:18
G185,高速动车,北京南,12:20,青岛,当天17:20,17:20,青岛,17:20
G186,高速动车,青岛,10:21,青岛,当天10:21,10:21,北京南,15:14
G187,高速动车,北京南,12:45,青岛,当天17:37,17:37,青岛,17:37
G188,高速动车,青岛,11:26,青岛,当天11:26,11:26,北京南,16:22
G189,高速动车,北京南,13:18,青岛,当天18:03,18:03,青岛,18:03
G190,高速动车,青岛,12:14,青岛,当天12:14,12:14,北京南,17:05
G191,高速动车,北京南,14:20,青岛,当天19:15,19:15,青岛,19:15
G192,高速动车,青岛,12:32,青岛,当天12:32,12:32,北京南,17:17
G193,高速动车,北京南,14:46,青岛,当天19:45,19:45,青岛,19:45
G194,高速动车,青岛,14:30,青岛,当天14:30,14:30,北京南,19:19
G195,高速动车,北京南,16:10,青岛,当天20:58,20:58,青岛,20:58
G196,高速动车,青岛,16:00,青岛,当天16:00,16:00,北京南,20:40
G197,高速动车,北京南,16:42,青岛,当天21:30,21:30,青岛,21:30
G198,高速动车,青岛,17:11,青岛,当天17:11,17:11,北京南,21:56
G199,高速动车,北京南,17:25,青岛,当天22:20,22:20,青岛,22:20
G200,高速动车,青岛,18:35,青岛,当天18:35,18:35,北京南,23:37
G221/G224,高速动车,青岛,06:46,青岛,当天06:46,06:46,上海虹桥,13:44
G222/G223,高速动车,上海虹桥,07:05,青岛,当天13:34,13:34,青岛,13:34
G226/G227,高速动车,上海虹桥,14:05,青岛,当天21:12,21:12,青岛,21:12
G229/G232,高速动车,青岛,09:15,青岛,当天09:15,09:15,上海虹桥,16:12
G230/G231,高速动车,上海虹桥,09:08,青岛,当天16:02,16:02,青岛,16:02
G234/G235,高速动车,上海虹桥,16:33,青岛,当天23:12,23:12,青岛,23:12
G245/G248,高速动车,青岛,13:23,青岛,当天13:23,13:23,合肥南,19:26
G246/G247,高速动车,合肥南,06:40,青岛,当天12:26,12:26,青岛,12:26
G254/G255,高速动车,杭州东,06:53,青岛,当天14:16,14:16,青岛,14:16
G257/G260,高速动车,青岛,15:19,青岛,当天15:19,15:19,武汉,23:24
G258/G259,高速动车,武汉,07:11,青岛,当天14:59,14:59,青岛,14:59
G276/G277,高速动车,广州南,06:47,青岛,当天19:39,19:39,青岛,19:39
G4211,高速动车,北京南,06:15,青岛,当天11:53,11:53,青岛,11:53
G4212,高速动车,青岛,18:39,青岛,当天18:39,18:39,北京南,23:41
G451/G454,高速动车,青岛,18:45,青岛,当天18:45,18:45,徐州东,23:06
G9216/G9217,高速动车,枣庄,08:39,青岛,当天12:26,12:26,青岛,12:26
G9218,高速动车,青岛,13:54,青岛,当天13:54,13:54,济南西,16:46
K1025/K1028,快速,兰州,23:56,青岛,第3日07:48,07:48,青岛,07:48
K1136/K1137,快速,青岛,17:40,青岛,当天17:40,17:40,南宁,10:45
K1285/K1288,快速,银川,18:28,青岛,第2日16:33,16:33,青岛,16:33
K341/K344,快速,青岛,12:50,青岛,当天12:50,12:50,南昌,09:11
K68/K69,快速,福州,15:50,青岛,第2日20:52,20:52,青岛,20:52
K8251/K8254,快速,烟台,08:37,青岛,当天13:08,13:08,青岛,13:08
K8252/K8253,快速,青岛,15:25,青岛,当天15:25,15:25,烟台,19:14
T396/T397,空调特快,青岛,16:56,青岛,当天16:56,16:56,深圳,20:52
T7565,空调特快,平度,07:41,青岛,当天09:27,09:27,青岛,09:27
T7566,空调特快,青岛,11:09,青岛,当天11:09,11:09,平度,12:59
Z168/Z169,直达特快,广州东,22:52,青岛,第3日05:22,05:22,青岛,05:22
Z271/Z274,直达特快,西宁,23:00,青岛,第3日04:51,04:51,青岛,04:51
