车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2635,普快,呼和浩特,16:03,青铜峡,第2日01:54,01:56,兰州西,09:32
2636,普快,兰州西,10:48,青铜峡,当天18:32,18:35,呼和浩特,06:03
7511/7514,普慢,银川,06:20,青铜峡,当天07:59,08:12,长庆桥,19:34
K1085/K1088,快速,西安,17:38,青铜峡,第2日06:51,06:53,银川,07:58
K1086/K1087,快速,银川,18:00,青铜峡,当天19:17,19:19,西安,08:28
K1306/K1307,快速,银川,16:43,青铜峡,当天17:58,18:04,西安,08:17
K1517/K1520,快速,沈阳北,12:33,青铜峡,第2日20:57,21:03,西宁,08:17
K1549/K1552,快速,银川,23:30,青铜峡,第2日00:52,00:54,重庆,07:39
K1550/K1551,快速,重庆,15:32,青铜峡,第2日20:49,20:51,银川,22:19
K359/K362,快速,银川,20:38,青铜峡,当天21:40,21:45,上海,06:06
K360/K361,快速,上海,09:23,青铜峡,第2日18:48,18:51,银川,20:04
K4041,快速,北京,09:00,青铜峡,第2日06:35,06:41,敦煌,21:20
K6801,快速,银川,19:20,青铜峡,当天20:39,20:44,兰州,05:05
K6802,快速,兰州,20:30,青铜峡,第2日04:56,05:02,银川,06:00
K6803,快速,石嘴山,21:08,青铜峡,当天23:09,23:15,兰州西,07:48
K6804,快速,兰州西,20:30,青铜峡,第2日07:14,07:17,石嘴山,09:36
K6851,快速,银川,12:06,青铜峡,当天12:56,13:00,中卫,14:26
K6852,快速,中卫,14:42,青铜峡,当天16:05,16:07,银川,17:00
K815,快速,银川,22:40,青铜峡,当天23:34,23:38,西宁,10:08
K816,快速,西宁,19:20,青铜峡,第2日06:03,06:08,银川,07:01
K9651/K9654,快速,银川,12:06,青铜峡,当天12:56,13:00,中卫,14:26
K9652/K9653,快速,中卫,14:42,青铜峡,当天16:05,16:07,银川,17:00
K9666,快速,兰州,12:05,青铜峡,当天19:01,19:03,银川,20:12
K9679,快速,银川,22:40,青铜峡,当天23:34,23:38,兰州西,07:19
K9680,快速,兰州西,22:12,青铜峡,第2日06:03,06:08,银川,07:01
Y675/Y678,旅游列车,银川,14:00,青铜峡,当天14:50,14:54,敦煌,08:21
Y676/Y677,旅游列车,敦煌,22:53,青铜峡,第2日15:45,15:47,银川,16:40
