车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1228/1229,普快,上海,20:22,青县,第2日13:35,13:38,阜新南,23:26
1462,普快,上海,12:18,青县,第2日06:10,06:21,北京,10:46
4423/4426,普快,邯郸,09:40,青县,当天18:02,18:04,秦皇岛,23:18
4424/4425,普快,秦皇岛,06:27,青县,当天12:28,12:30,邯郸,21:20
4481,普快,天津,07:01,青县,当天08:25,08:28,涉县,19:45
4482,普快,涉县,08:36,青县,当天20:33,20:35,天津,22:28
K187/K190,快速,沈阳北,12:20,青县,第2日00:33,00:35,上海,16:04
K412,快速,威海,20:52,青县,第2日09:39,09:41,北京,12:53
K5232,快速,德州,17:43,青县,当天19:45,19:55,北京,00:08
K7709,快速,天津,06:28,青县,当天07:42,07:44,石家庄北,12:54
K7710,快速,石家庄北,13:41,青县,当天18:53,18:56,天津,20:41
K7766/K7767,快速,石家庄北,07:25,青县,当天11:56,11:59,承德,19:13
K969/K972,快速,通化,15:33,青县,第2日07:49,07:51,青岛北,16:44
T253,空调特快,天津,11:50,青县,当天12:58,13:08,广州,15:37
