车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2149/2152,普快,日照,19:20,曲阜,当天22:48,22:50,郑州,05:50
5036/5037,普快,枣庄西,20:57,曲阜,当天23:33,23:43,烟台,07:53
5039/5042,普快,威海,19:42,曲阜,第2日06:10,06:13,菏泽,08:28
K171/K174,快速,日照,17:50,曲阜,当天21:21,21:24,上海,11:31
K1901/K1904,快速,北京,23:26,曲阜,第2日09:14,09:17,日照,12:42
K4052,快速,日照,12:30,曲阜,当天16:55,16:59,北京,04:05
K4603,快速,北京西,22:41,曲阜,第2日07:24,07:28,日照,11:35
K52,快速,日照,17:05,曲阜,当天20:31,20:39,北京,05:20
K631/K634,快速,日照,07:22,曲阜,当天11:00,11:03,信阳,22:21
K8285,快速,济南,09:10,曲阜,当天11:22,11:26,日照,14:56
K8286,快速,日照,09:03,曲阜,当天12:15,12:18,济南,14:36
K8287,快速,济南,16:28,曲阜,当天18:42,18:44,日照,21:55
K8288,快速,日照,05:00,曲阜,当天08:06,08:08,济南,10:39
