车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3147,普快,上海南,03:53,渠县,第2日17:37,17:41,重庆,22:24
3148,普快,重庆,05:34,渠县,当天11:34,11:41,上海南,02:46
3156/3157,普快,南昌,16:51,渠县,第2日17:37,17:41,重庆,22:24
3604,普快,重庆北,05:53,渠县,当天08:20,08:36,北京,17:27
3675/3678,普快,重庆,05:02,渠县,当天08:49,08:58,东莞东,15:08
3677,普快,万州,04:10,渠县,当天08:12,08:20,重庆,13:16
3707/3710,普快,达州,17:12,渠县,当天18:03,18:15,广州东,03:04
K1001/K1004,快速,重庆,21:21,渠县,第2日01:01,01:04,西安,08:41
K1002/K1003,快速,西安,21:28,渠县,第2日06:23,06:27,重庆,10:29
K1031/K1034,快速,贵阳,18:40,渠县,第2日09:16,09:19,西安,17:15
K1032/K1033,快速,西安,18:30,渠县,第2日03:50,03:55,贵阳,16:52
K1151/K1154,快速,重庆北,10:06,渠县,当天11:56,12:01,上海,11:09
K1152/K1153,快速,上海,13:32,渠县,第2日13:42,13:45,重庆北,16:00
K1267/K1270,快速,重庆北,18:08,渠县,当天20:04,20:09,福州,19:36
K1268/K1269,快速,福州,10:40,渠县,第2日09:17,09:20,重庆北,11:14
K1387/K909,快速,郑州,13:21,渠县,第2日07:55,08:00,重庆北,09:55
K1535,快速,呼和浩特东,13:19,渠县,第2日11:13,11:18,重庆北,13:34
K1571/K1574,快速,重庆北,14:57,渠县,当天16:56,17:02,长春,11:30
K16,快速,重庆北,12:20,渠县,当天14:13,14:17,济南,15:22
K355/K358,快速,重庆北,23:20,渠县,第2日01:10,01:18,广州,05:12
K356/K357,快速,广州,09:22,渠县,第2日13:17,13:25,重庆北,15:30
K4026/K4027,快速,西安,23:57,渠县,第2日08:51,08:58,重庆,12:37
K4065/K4068,快速,厦门,11:15,渠县,第3日09:25,09:35,重庆,13:33
K4186/K4187,快速,福州,13:58,渠县,第2日16:55,17:03,广安,17:33
K4245/K4248,快速,重庆,17:42,渠县,当天22:31,22:43,广州东,03:50
K4331/K4334,快速,乌鲁木齐南,21:57,渠县,第3日22:02,22:16,重庆北,00:10
K4332/K4333,快速,重庆北,16:45,渠县,当天18:37,18:42,乌鲁木齐南,19:17
K4381/K4384,快速,达州,16:29,渠县,当天17:48,18:01,福州,16:16
K4382/K4383,快速,福州,18:20,渠县,第3日14:32,14:43,达州,15:28
K4507,快速,北京西,13:10,渠县,第4日11:40,11:46,重庆,15:14
K4535,快速,汉口,00:40,渠县,当天15:11,15:20,重庆,20:05
K4645,快速,达州,19:20,渠县,当天20:16,20:25,广州东,02:18
K4646,快速,广州东,09:10,渠县,第2日17:18,17:23,达州,18:08
K4728,快速,重庆,15:51,渠县,当天20:37,20:55,广州,23:15
K4804/K4805,快速,福州,16:37,渠县,第3日03:34,03:39,重庆北,05:35
K4806,快速,广元,03:10,渠县,当天10:11,10:18,福州,20:05
K4902,快速,厦门,11:35,渠县,第2日21:17,21:22,广安,21:52
K4912,快速,厦门,11:35,渠县,第2日21:23,21:30,广安,22:02
K4918/K4919,快速,西安,23:58,渠县,第2日08:59,09:03,重庆,12:33
K4920,快速,重庆,13:33,渠县,当天16:41,16:49,西安,00:22
K590,快速,重庆,21:58,渠县,第2日01:58,02:04,北京西,05:18
K690,快速,重庆北,07:47,渠县,当天09:48,09:54,太原,05:22
K803/K806,快速,重庆北,08:07,渠县,当天10:14,10:20,福州,20:10
K812/K813,快速,达州,17:38,渠县,当天18:25,18:30,广州,19:24
K819,快速,北京西,07:12,渠县,第2日07:07,07:18,重庆北,09:17
K910,快速,重庆北,10:54,渠县,当天12:57,13:04,郑州,07:45
K9411,快速,巴中,17:03,渠县,当天20:40,20:43,重庆北,22:35
K9412/K9413,快速,重庆北,11:02,渠县,当天12:55,12:58,巴中,16:23
K9424,快速,广安,07:40,渠县,当天08:10,08:14,达州,09:15
K9480,快速,涪陵,09:16,渠县,当天14:32,14:43,达州,15:28
K9481,快速,达州,16:29,渠县,当天17:48,18:01,秀山,11:02
K9511,快速,达州,09:43,渠县,当天10:56,10:58,广安,11:30
K9512/K9513,快速,广安,12:07,渠县,当天12:37,12:44,巴中,16:33
T10,空调特快,重庆北,10:38,渠县,当天12:28,12:33,北京西,11:12
T235/T238,空调特快,重庆北,07:40,渠县,当天09:34,09:39,南通,07:57
T236/T237,空调特快,南通,18:02,渠县,第2日18:37,18:42,重庆北,20:50
T9,空调特快,北京西,15:05,渠县,第2日14:04,14:10,重庆北,16:19
