车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3062/3063,普快,平顶山,13:25,确山,当天16:13,16:19,佛山,14:52
3251,普快,漯河,20:45,确山,当天21:44,21:49,广州东,18:17
3545,普快,漯河,16:43,确山,当天18:01,18:18,广州,14:57
K1276/K1277,快速,南昌,09:52,确山,当天19:11,19:22,包头,20:30
K158,快速,湛江,19:30,确山,第2日19:00,19:03,北京西,05:52
K226/K227,快速,广州,20:20,确山,第2日13:31,13:34,兰州,08:44
K237/K240,快速,太原,23:15,确山,第2日17:12,17:14,深圳西,13:40
K4253,快速,驻马店,23:58,确山,第2日00:12,00:16,深圳东,23:20
K434,快速,玉溪,20:40,确山,第3日09:30,09:33,北京西,22:03
K472,快速,昆明,22:25,确山,第3日09:30,09:33,北京西,22:03
K632/K633,快速,信阳,07:20,确山,当天08:10,08:13,日照,21:35
T3038,空调特快,汉口,08:24,确山,当天11:41,11:51,北京西,23:44
