车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1487,普快,北京西,11:05,任丘,当天12:32,12:34,郑州,22:26
1488,普快,郑州,20:55,任丘,第2日08:00,08:05,北京西,10:00
1501/1504,普快,连云港东,17:29,任丘,第2日05:46,05:50,北京,08:15
1502/1503,普快,北京,09:15,任丘,当天11:13,11:17,连云港东,23:36
3094,普快,武穴,06:12,任丘,当天22:24,22:27,北京西,00:15
4498,普快,衡水,14:12,任丘,当天15:44,15:48,北京,17:45
K105,快速,北京西,23:19,任丘,第2日01:01,01:03,深圳,04:20
K106,快速,深圳,10:31,任丘,第2日14:39,14:41,北京西,16:23
K1071,快速,北京西,12:12,任丘,当天13:39,13:42,安庆,06:18
K1072,快速,安庆,17:42,任丘,第2日09:05,09:09,北京西,10:59
K1109,快速,北京西,13:35,任丘,当天15:04,15:06,黄山,09:46
K1453,快速,北京西,12:19,任丘,当天13:51,13:53,赣州,11:40
K147,快速,北京西,09:43,任丘,当天11:31,11:33,阜阳,20:06
K148,快速,阜阳,21:13,任丘,第2日06:02,06:43,北京西,08:33
K1571/K1574,快速,重庆北,14:57,任丘,第2日17:08,17:10,长春,11:30
K1611/K1614,快速,连云港东,18:05,任丘,第2日05:48,05:50,北京,08:16
K1612/K1613,快速,北京,09:16,任丘,当天11:09,11:11,连云港东,23:08
K1901/K1904,快速,北京,23:26,任丘,第2日01:12,01:14,日照,12:42
K2045/K2048,快速,沈阳北,08:00,任丘,当天21:30,21:42,西安,14:44
K2385/K2388,快速,长春,11:45,任丘,第2日02:50,03:04,南宁,16:55
K2386/K2387,快速,南宁,22:40,任丘,第3日13:03,13:05,长春,05:04
K329/K332,快速,天津,19:52,任丘,当天21:54,21:56,洛阳,08:39
K330/K331,快速,洛阳,17:00,任丘,第2日03:43,03:57,天津,06:14
K4053,快速,北京西,23:56,任丘,第2日01:46,02:16,阜阳,12:40
K4204,快速,东莞东,12:05,任丘,第2日20:09,20:12,北京西,21:55
K4208,快速,蕲春,07:58,任丘,当天21:34,21:37,北京西,23:22
K4299,快速,北京,18:20,任丘,当天20:39,20:42,合肥,08:46
K4300,快速,安庆,20:05,任丘,第2日14:02,14:04,北京,16:45
K4601,快速,北京西,23:56,任丘,第2日01:45,01:48,阜阳,10:24
K5221,快速,北京,06:16,任丘,当天08:22,08:25,清河城,10:47
K5222,快速,清河城,11:33,任丘,当天14:09,14:12,北京,16:45
K5225,快速,北京,06:30,任丘,当天08:23,08:26,清河城,10:50
K5226,快速,清河城,11:43,任丘,当天14:12,14:16,北京,16:13
K5228,快速,衡水,12:28,任丘,当天13:46,13:50,北京西,15:28
K609,快速,北京,23:53,任丘,第2日01:35,01:37,韩城,15:28
K7771,快速,北京,06:46,任丘,当天10:21,10:23,清河城,13:33
K7772,快速,清河城,14:16,任丘,当天16:47,16:49,北京,18:53
K7773,快速,北京,09:46,任丘,当天11:42,11:44,衡水,13:18
K7774,快速,衡水,15:32,任丘,当天16:58,17:00,北京,19:06
K917/K920,快速,汉口,18:37,任丘,第2日12:24,12:26,天津,14:31
K918/K919,快速,天津,15:36,任丘,当天17:36,17:38,汉口,11:56
T317/T320,空调特快,汉口,19:10,任丘,第2日12:15,12:17,天津,14:12
T318/T319,空调特快,天津,15:36,任丘,当天17:36,17:38,汉口,11:24
Y501,旅游列车,北京西,07:53,任丘,当天09:35,09:37,衡水,11:32
Y502,旅游列车,衡水,17:50,任丘,当天19:06,19:08,北京西,20:56
Z383/Z386,直达特快,三亚,06:30,任丘,第2日23:38,23:42,长春,11:43
Z602,直达特快,菏泽,14:52,任丘,当天18:35,18:38,北京,20:08
Z71,直达特快,北京,18:56,任丘,当天20:13,20:15,三明北,10:55
Z72,直达特快,三明北,14:45,任丘,第2日04:55,04:58,北京,06:28
