车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3927,普快,商丘,07:33,三门峡,当天14:32,14:36,乌鲁木齐南,06:18
3928,普快,乌鲁木齐南,08:12,三门峡,第3日07:32,07:37,郑州,12:10
K1025/K1028,快速,兰州,23:56,三门峡,第2日13:59,14:12,青岛,07:48
K125/K128,快速,长春,13:32,三门峡,第2日16:55,16:58,西安,20:22
K1316/K1317,快速,福州,11:50,三门峡,第2日11:36,11:39,呼和浩特东,08:30
K1347/K1350,快速,西安,14:37,三门峡,当天18:09,18:12,深圳,20:02
K175,快速,商丘,17:20,三门峡,第2日00:11,00:41,乌鲁木齐,12:34
K177,快速,郑州,15:30,三门峡,当天18:59,19:02,西宁,09:43
K178,快速,西宁,11:20,三门峡,第2日04:53,04:56,郑州,08:18
K1886/K1887,快速,张家界,16:16,三门峡,第2日07:38,07:55,太原,18:30
K226/K227,快速,广州,20:20,三门峡,第2日20:24,20:28,兰州,08:44
K237/K240,快速,太原,23:15,三门峡,第2日09:29,09:33,深圳西,13:40
K245/K248,快速,扬州,10:33,三门峡,第2日03:05,03:07,成都,23:15
K2665/K2668,快速,临汾,12:05,三门峡,当天20:18,20:21,苏州,13:46
K2666/K2667,快速,苏州,15:30,三门峡,第2日09:35,09:46,临汾,16:23
K2905/K2908,快速,西安,20:59,三门峡,第2日01:09,01:18,温州,05:00
K2906/K2907,快速,温州,07:00,三门峡,第2日09:56,10:00,西安,13:39
K360/K361,快速,上海,09:23,三门峡,第2日02:52,02:55,银川,20:04
K375/K378,快速,西宁,21:05,三门峡,第2日13:25,13:27,上海,05:24
K4189/K4192,快速,西安,01:57,三门峡,当天07:01,07:05,上海,02:00
K4217,快速,北京西,01:56,三门峡,当天15:39,15:45,成都,21:57
K4301/K4304,快速,北京西,02:08,三门峡,当天16:18,16:23,重庆,12:23
K4315,快速,呼和浩特东,19:59,三门峡,第2日13:06,13:09,福州,16:18
K4537/K4540,快速,灵宝,16:08,三门峡,当天17:10,17:13,上海,15:19
K4629,快速,北京西,18:22,三门峡,第2日08:19,08:21,兰州,20:37
K5349,快速,洛阳,11:20,三门峡,当天13:42,14:16,灵宝,15:08
K5365,快速,洛阳,10:20,三门峡,当天12:00,12:00,三门峡,12:00
K5388,快速,灵宝,13:20,三门峡,当天14:30,14:34,洛阳,16:23
K557/K560,快速,上海,14:49,三门峡,第2日07:28,07:30,延安,15:13
K59/K62,快速,南通,17:05,三门峡,第2日10:10,10:13,西安,13:53
K60/K61,快速,西安,14:16,三门峡,当天17:58,18:02,南通,11:31
K629,快速,北京西,18:22,三门峡,第2日08:19,08:21,兰州,20:37
K645/K648,快速,广州,10:28,三门峡,第2日10:50,10:53,西安,14:50
K646/K647,快速,西安,16:20,三门峡,当天19:56,20:06,广州,20:50
K819,快速,北京西,07:12,三门峡,当天19:11,19:14,重庆北,09:17
K820,快速,重庆北,21:40,三门峡,第2日09:59,10:02,北京西,21:23
K869,快速,郑州,13:34,三门峡,当天17:19,17:22,成都,13:37
T191/T194,空调特快,乌鲁木齐,17:34,三门峡,第3日02:50,02:53,汉口,11:25
T192/T193,空调特快,汉口,16:56,三门峡,第2日01:45,01:48,乌鲁木齐,08:39
T231,空调特快,北京西,18:50,三门峡,第2日04:25,04:28,西安,07:43
T232,空调特快,西安,17:38,三门峡,当天20:43,20:46,北京西,06:08
