车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K4065/K4068,快速,厦门,11:15,邵武,第2日01:43,02:01,重庆,13:33
K4066/K4067,快速,重庆,21:23,邵武,第3日10:02,10:17,厦门,22:47
K4387/K4390,快速,福州,20:32,邵武,第2日03:06,03:19,重庆,09:39
K46,快速,福州,18:12,邵武,当天23:59,00:08,北京,05:07
K5859,快速,邵武,10:00,邵武,当天10:00,10:00,福州,16:39
K6209,快速,景德镇,12:55,邵武,当天18:45,19:03,厦门,09:48
K6211,快速,邵武,07:50,邵武,当天07:50,07:50,福州,15:28
K6212,快速,福州,12:21,邵武,当天19:01,19:01,邵武,19:01
K6213,快速,邵武,10:00,邵武,当天10:00,10:00,福州,16:42
K6252,快速,福州,12:21,邵武,当天19:01,19:01,邵武,19:01
K6255,快速,邵武,10:00,邵武,当天10:00,10:00,福州,16:42
K8709,快速,景德镇,12:20,邵武,当天18:49,19:27,厦门,10:12
K8752,快速,福州,13:05,邵武,当天19:00,19:00,邵武,19:00
K945/K948,快速,贵阳,20:56,邵武,第2日19:57,20:03,厦门,07:30
K946/K947,快速,厦门,20:15,邵武,第2日05:58,06:04,贵阳,05:13
