车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3335/3338,普快,成都,03:42,绍兴,第2日22:52,22:57,宁波,01:38
3336/3337,普快,宁波,06:43,绍兴,当天08:18,08:23,成都,04:15
K1039/K1042,快速,兰州,22:02,绍兴,第3日06:14,06:17,宁波,08:09
K1040/K1041,快速,宁波,12:54,绍兴,当天14:32,14:35,兰州,21:18
K1076/K1077,快速,重庆北,23:53,绍兴,第3日04:49,04:52,宁波,06:52
K1121/K1124,快速,宝鸡,07:05,绍兴,第2日07:06,07:06,绍兴,07:06
K1122/K1123,快速,绍兴,09:16,绍兴,当天09:16,09:16,宝鸡,10:19
K1218/K1219,快速,南昌,20:50,绍兴,第2日08:27,08:30,宁波,10:03
K1245/K1248,快速,宁波,16:58,绍兴,当天18:28,18:31,重庆,09:24
K1377/K1380,快速,绍兴,21:03,绍兴,当天21:03,21:03,洛阳,19:39
K1378/K1379,快速,洛阳,21:35,绍兴,第2日20:03,20:03,绍兴,20:03
K209/K212,快速,宁波,15:05,绍兴,当天16:53,16:56,广州,15:04
K210/K211,快速,广州,20:35,绍兴,第2日14:54,14:57,宁波,16:45
K4071/K4074,快速,宁波,21:56,绍兴,当天23:32,23:37,新乡,20:20
K4072/K4073,快速,安阳,22:34,绍兴,第2日18:51,18:56,宁波,20:49
K422/K423,快速,宁波,07:39,绍兴,当天09:23,09:26,成都,16:14
K425/K428,快速,洛阳,16:38,绍兴,第2日13:08,13:11,宁波,15:18
K426/K427,快速,宁波,18:03,绍兴,当天19:38,19:41,洛阳,17:24
K465/K468,快速,西安,14:46,绍兴,第2日12:52,12:57,宁波,14:41
K4651/K4654,快速,宁波,02:47,绍兴,当天04:23,04:28,贵阳,09:18
K4652/K4653,快速,贵阳,18:10,绍兴,第2日22:35,22:40,宁波,00:44
K466/K467,快速,宁波,13:31,绍兴,当天15:06,15:09,西安,13:16
K5601/K5604,快速,阜阳,13:26,绍兴,第2日04:04,04:08,宁波,05:58
K5602/K5603,快速,宁波,18:53,绍兴,当天20:18,20:22,阜阳,12:36
K5605,快速,阜阳,06:30,绍兴,当天16:30,16:35,宁波,18:22
K5606,快速,宁波,14:55,绍兴,当天16:21,16:26,阜阳,05:30
K5607/K5610,快速,阜阳,21:50,绍兴,第2日07:53,07:57,宁波,10:36
K5608/K5609,快速,阜阳,16:28,绍兴,第2日03:10,03:15,宁波,04:55
K5615,快速,阜阳,21:12,绍兴,第2日08:46,08:52,宁波,12:15
K581/K584,快速,宁波,08:16,绍兴,当天09:52,09:55,南宁,12:18
K582/K583,快速,南宁,21:55,绍兴,第3日04:17,04:20,宁波,06:17
K76/K77,快速,宁波,15:43,绍兴,当天17:24,17:27,长春,09:39
K845/K848,快速,宁波,11:12,绍兴,当天12:47,12:50,贵阳,13:52
K846/K847,快速,贵阳,22:20,绍兴,第3日03:22,03:25,宁波,05:11
K8499,快速,阜阳,17:52,绍兴,第2日03:49,03:52,宁波,05:45
K8500,快速,宁波,19:30,绍兴,当天21:06,21:09,亳州,09:14
K8563,快速,亳州,19:13,绍兴,第2日05:57,06:00,宁波,07:28
K8564,快速,宁波,18:52,绍兴,当天20:27,20:30,亳州,07:52
T135,空调特快,济南,17:35,绍兴,第2日09:05,09:08,宁波,11:12
T136,空调特快,宁波,17:52,绍兴,当天19:26,19:29,济南,10:14
T325/T328,空调特快,郑州,18:43,绍兴,第2日09:12,09:15,宁波,11:47
T326/T327,空调特快,宁波,14:11,绍兴,当天15:47,15:50,郑州,06:54
Z287/Z290,直达特快,宁波,21:05,绍兴,当天22:36,22:39,昆明,04:29
Z288/Z289,直达特快,昆明,10:45,绍兴,第2日13:57,14:02,宁波,15:49
Z31/Z34,直达特快,武昌,21:42,绍兴,第2日06:49,06:52,宁波,08:31
Z32/Z33,直达特快,宁波,20:58,绍兴,当天22:24,22:27,武昌,07:39
