车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2035/2038,普快,图们,19:56,舒兰,第2日03:44,03:50,香坊,08:30
2036/2037,普快,香坊,19:55,舒兰,当天23:46,23:54,图们,07:40
4301,普快,吉林,16:55,舒兰,当天19:06,19:06,舒兰,19:06
4302,普快,舒兰,04:50,舒兰,当天04:50,04:50,吉林,06:49
4341,普快,吉林,07:28,舒兰,当天09:36,09:41,山河屯,10:21
4342,普快,山河屯,14:03,舒兰,当天14:43,14:48,吉林,16:52
4375/4378,普快,长春,07:45,舒兰,当天12:11,12:20,榆树,13:41
4376/4377,普快,榆树,10:19,舒兰,当天11:40,11:49,长春,16:38
6021,普慢,吉林,07:28,舒兰,当天09:38,09:48,哈尔滨东,14:00
6022,普慢,哈尔滨东,15:40,舒兰,当天19:28,19:38,吉林,21:55
K2035/K2038,快速,图们,20:43,舒兰,第2日03:45,03:51,香坊,06:53
K2036/K2037,快速,香坊,19:55,舒兰,当天23:40,23:47,图们,06:45
K7311,快速,长春,16:37,舒兰,当天20:55,20:55,舒兰,20:55
