车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
4059,普快,加格达奇,15:08,塔河,当天19:48,19:48,塔河,19:48
4060,普快,塔河,07:25,塔河,当天07:25,07:25,加格达奇,12:00
6959,普快,加格达奇,05:03,塔河,当天10:00,10:00,塔河,10:00
6960,普快,塔河,17:40,塔河,当天17:40,17:40,加格达奇,23:14
K5139,快速,哈尔滨东,17:45,塔河,第2日05:14,05:20,漠河,08:40
K7037/K7040,快速,漠河,15:43,塔河,当天18:44,18:47,哈尔滨,05:54
K7041,快速,哈尔滨,18:22,塔河,第2日06:08,06:14,漠河,09:56
K7042,快速,漠河,20:05,塔河,当天23:29,23:35,哈尔滨,11:55
K7043,快速,加格达奇,08:55,塔河,当天12:11,12:17,漠河,16:09
K7044,快速,漠河,11:05,塔河,当天14:22,14:29,加格达奇,17:53
