车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1227/1230,普快,阜新南,16:45,泰山,第2日06:54,06:56,上海,18:15
1228/1229,普快,上海,20:22,泰山,第2日07:58,08:04,阜新南,23:26
1462,普快,上海,12:18,泰山,第2日01:00,01:10,北京,10:46
1563/1566,普快,郑州,21:30,泰山,第2日05:46,05:48,青岛北,11:42
1564/1565,普快,青岛,17:22,泰山,当天22:22,22:24,郑州,07:24
3307,普快,济南,05:40,泰山,当天07:03,07:07,库尔勒,05:11
3308,普快,库尔勒,16:37,泰山,第4日13:18,13:20,济南,14:18
4310,普快,通辽,12:16,泰山,第2日06:54,06:56,上海,18:15
5022/5023,普快,青岛,20:32,泰山,第2日02:36,02:39,曹县,07:39
5045,普快,济南,08:48,泰山,当天09:40,09:43,济宁,11:34
5046,普快,济宁,17:36,泰山,当天19:33,19:36,济南,20:34
7053,普慢,淄博,06:52,泰山,当天12:41,12:41,泰山,12:41
K101/K104,快速,北京,23:20,泰山,第2日06:23,06:26,温州,05:50
K102,快速,温州,12:00,泰山,第2日08:09,08:12,北京,15:43
K1025/K1028,快速,兰州,23:56,泰山,第3日02:17,02:20,青岛,07:48
K1073,快速,济南,18:18,泰山,当天19:10,19:13,长沙,13:02
K1074,快速,长沙,15:00,泰山,第2日08:32,08:35,济南,09:33
K1136/K1137,快速,青岛,17:40,泰山,当天23:13,23:23,南宁,10:45
K1182/K1183,快速,义乌,17:09,泰山,第2日09:49,09:51,烟台,18:32
K1331/K1334,快速,银川,12:15,泰山,第2日05:05,05:07,上海,16:16
K1332/K1333,快速,上海,18:17,泰山,第2日07:26,07:30,银川,23:58
K1561/K1564,快速,济南,21:31,泰山,当天22:23,22:25,南宁,13:46
K1562/K1563,快速,南宁,22:10,泰山,第3日13:57,14:02,济南,15:00
K16,快速,重庆北,12:20,泰山,第2日14:21,14:24,济南,15:22
K1633/K1636,快速,郑州,21:30,泰山,第2日05:46,05:49,青岛北,11:41
K1634/K1635,快速,青岛北,17:39,泰山,当天22:31,22:33,郑州,07:15
K1677,快速,济南,09:46,泰山,当天10:38,10:41,张家界,09:22
K1678,快速,张家界,20:33,泰山,第2日18:33,18:36,济南,19:34
K1805/K1808,快速,银川,17:18,泰山,第2日11:39,11:41,杭州,06:29
K1806/K1807,快速,杭州,11:44,泰山,第2日03:43,03:46,银川,21:53
K187/K190,快速,沈阳北,12:20,泰山,第2日04:25,04:27,上海,16:04
K188/K189,快速,上海,18:08,泰山,第2日07:02,07:05,沈阳北,23:42
K341/K344,快速,青岛,12:50,泰山,当天18:38,18:41,南昌,09:11
K345/K348,快速,温州,18:20,泰山,第2日15:24,15:27,沈阳北,08:12
K346/K347,快速,沈阳北,19:36,泰山,第2日12:14,12:16,温州,11:40
K371/K374,快速,太原,16:13,泰山,第2日02:13,02:28,上海,15:10
K372/K373,快速,上海,16:03,泰山,第2日04:01,04:11,太原,12:25
K4051,快速,北京,22:32,泰山,第2日05:52,05:55,日照,11:20
K4052,快速,日照,12:30,泰山,当天18:45,18:48,北京,04:05
K4576/K4577,快速,菏泽,14:15,泰山,当天18:43,18:47,哈尔滨西,23:49
K46,快速,福州,18:12,泰山,第2日21:58,22:01,北京,05:07
K4603,快速,北京西,22:41,泰山,第2日05:56,05:58,日照,11:35
K4605,快速,北京,18:01,泰山,第2日02:45,02:49,上海,15:30
K4606,快速,上海,16:25,泰山,第2日08:27,08:30,北京,15:49
K48/K49,快速,杭州,13:48,泰山,第2日06:41,06:51,齐齐哈尔,08:10
K515/K518,快速,吉林,09:50,泰山,第2日06:47,06:49,上海,17:32
K516/K517,快速,上海,09:16,泰山,当天21:28,21:31,吉林,17:50
K52,快速,日照,17:05,泰山,当天22:11,22:14,北京,05:20
K5501,快速,济南,08:48,泰山,当天09:40,09:43,菏泽,13:00
K5502,快速,菏泽,15:22,泰山,当天18:33,18:36,济南,19:34
K5503,快速,济南,14:00,泰山,当天14:52,14:55,枣庄西,17:11
K5504,快速,枣庄西,17:58,泰山,当天20:14,20:17,济南,21:15
K5515/K5518,快速,烟台,15:00,泰山,当天23:00,23:00,泰山,23:00
K5516/K5517,快速,泰山,23:59,泰山,当天23:59,23:59,烟台,07:17
K661/K664,快速,石家庄,15:22,泰山,第2日00:15,00:18,南通,11:24
K662,快速,南通,12:45,泰山,第2日00:20,00:41,石家庄,10:20
K68/K69,快速,福州,15:50,泰山,第2日14:37,14:40,青岛,20:52
K76/K77,快速,宁波,15:43,泰山,第2日08:54,08:59,长春,09:39
K761/K764,快速,烟台,22:56,泰山,第2日07:16,07:20,徐州,10:35
K762/K763,快速,徐州,19:59,泰山,第2日00:08,00:10,烟台,07:40
K772,快速,南通,07:03,泰山,当天18:09,18:12,济南,19:10
K8281,快速,济南,08:05,泰山,当天08:51,08:54,日照,13:11
K8282,快速,日照,13:56,泰山,当天18:02,18:05,济南,18:55
K8285,快速,济南,09:10,泰山,当天09:56,09:59,日照,14:56
K8286,快速,日照,09:03,泰山,当天13:43,13:46,济南,14:36
K8287,快速,济南,16:28,泰山,当天17:14,17:18,日照,21:55
K8288,快速,日照,05:00,泰山,当天09:38,09:41,济南,10:39
K850,快速,上海,12:34,泰山,第2日01:20,01:22,保定,11:05
T135,空调特快,济南,17:35,泰山,当天18:21,18:24,宁波,11:12
T136,空调特快,宁波,17:52,泰山,第2日09:16,09:18,济南,10:14
T179,空调特快,济南,17:19,泰山,当天18:11,18:14,广州,16:24
T31,空调特快,北京,16:54,泰山,当天22:03,22:06,杭州,09:03
T396/T397,空调特快,青岛,16:56,泰山,当天22:09,22:17,深圳,20:52
Z105,直达特快,济南,22:02,泰山,当天22:47,22:50,乌鲁木齐,11:32
Z168/Z169,直达特快,广州东,22:52,泰山,第3日00:14,00:18,青岛,05:22
Z176/Z177,直达特快,杭州,13:30,泰山,第2日00:26,00:29,哈尔滨西,15:31
Z268/Z269,直达特快,上海,14:55,泰山,当天23:39,23:43,呼和浩特东,17:54
Z271/Z274,直达特快,西宁,23:00,泰山,第2日23:30,23:33,青岛,04:51
