车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1095,普快,太原,19:10,太原,当天19:10,19:10,兰州西,15:04
1096,普快,兰州西,16:27,太原,第2日13:29,13:29,太原,13:29
1551/1554,普快,太原,19:30,太原,当天19:30,19:30,连云港东,14:20
2095,普快,太原,19:10,太原,当天19:10,19:10,西安,07:03
2461/2464,普快,临汾,18:40,太原,当天22:58,23:08,包头,12:00
2462/2463,普快,包头,16:14,太原,第2日04:03,04:25,临汾,08:40
2671,普快,大同,16:40,太原,当天22:35,22:48,西安,08:51
2672,普快,西安,22:53,太原,第2日09:12,09:28,大同,15:27
2673,普快,太原,07:00,太原,当天07:00,07:00,晋城,14:15
2674,普快,晋城,14:50,太原,当天22:00,22:00,太原,22:00
4611,普快,太原,07:09,太原,当天07:09,07:09,介休,10:26
4612,普快,介休,15:23,太原,当天17:47,17:47,太原,17:47
4615,普快,宁武,17:38,太原,当天21:15,21:15,太原,21:15
4616/4617,普快,太原,08:29,太原,当天08:29,08:29,宁武,12:13
4631,普快,太原,18:06,太原,当天18:06,18:06,临汾,22:22
4635,普快,忻州,08:03,太原,当天10:03,10:03,太原,10:03
4636,普快,太原,16:52,太原,当天16:52,16:52,忻州,18:47
4643,普快,太原,17:27,太原,当天17:27,17:27,柳林南,20:32
4644,普快,柳林南,07:12,太原,当天10:36,10:36,太原,10:36
6031,普慢,石家庄北,07:08,太原,当天13:13,13:13,太原,13:13
6032,普慢,太原,14:38,太原,当天14:38,14:38,石家庄北,21:00
6033,普慢,石家庄北,14:58,太原,当天21:12,21:12,太原,21:12
6034,普慢,太原,06:30,太原,当天06:30,06:30,石家庄北,12:30
6801,普慢,太原,06:30,太原,当天06:30,06:30,镇城底,08:06
6802,普慢,镇城底,09:08,太原,当天10:45,10:45,太原,10:45
6805,普慢,太原,17:40,太原,当天17:40,17:40,镇城底,19:30
6806,普慢,镇城底,20:29,太原,当天22:00,22:00,太原,22:00
6817,普慢,灵丘,08:52,太原,当天16:18,16:18,太原,16:18
6818,普慢,太原,07:18,太原,当天07:18,07:18,灵丘,14:26
8811,普快,太原,06:30,太原,当天06:30,06:30,镇城底,08:06
8814,普快,镇城底,20:29,太原,当天21:59,21:59,太原,21:59
8817,普快,灵丘,08:52,太原,当天16:18,16:18,太原,16:18
8818,普快,太原,07:08,太原,当天07:08,07:08,灵丘,14:26
K1115/K1118,快速,北京西,12:52,太原,当天19:24,19:46,包头,06:02
K1116/K1117,快速,包头,19:11,太原,第2日04:57,05:09,北京西,11:45
