车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1489,普快,天津,20:30,铁力,第2日19:06,19:08,佳木斯,22:50
1490,普快,佳木斯,18:20,铁力,当天22:37,22:40,天津,19:22
1881,普快,北京北,13:47,铁力,第2日16:36,16:38,伊春,21:22
1882/1883,普快,伊春,06:10,铁力,当天09:45,09:47,北京北,12:28
4137,普快,哈尔滨,20:02,铁力,当天23:30,23:33,双鸭山,05:19
K1546/K1547,快速,福州,21:50,铁力,第4日01:20,01:22,佳木斯,04:47
K4711,快速,长春,21:50,铁力,第2日04:38,04:41,佳木斯,08:55
K4712,快速,佳木斯,09:58,铁力,当天13:39,13:46,长春,21:07
K4789,快速,天津,20:30,铁力,第2日17:09,17:11,佳木斯,20:28
K4831/K4834,快速,佳木斯,14:06,铁力,当天18:44,18:47,大连,12:02
K4832/K4833,快速,大连,15:53,铁力,第2日07:54,07:56,佳木斯,12:08
K489,快速,天津,20:30,铁力,第2日17:21,17:23,佳木斯,20:45
K5109,快速,哈尔滨,05:17,铁力,当天09:10,09:10,铁力,09:10
K5110,快速,铁力,09:50,铁力,当天09:50,09:50,哈尔滨东,13:01
K5132,快速,抚远,08:56,铁力,当天21:30,21:33,绥化,22:50
K7005/K7008,快速,佳木斯,07:11,铁力,当天10:17,10:19,绥芬河,21:18
K7006/K7007,快速,哈尔滨东,15:25,铁力,当天17:50,17:52,佳木斯,21:19
K7020,快速,鹤北,22:22,铁力,第2日03:36,03:40,哈尔滨东,06:41
K7021,快速,哈尔滨东,19:19,铁力,当天23:21,23:28,双鸭山,05:04
K7083/K7086,快速,佳木斯,13:30,铁力,当天17:10,17:12,哈尔滨,19:59
K7084/K7085,快速,哈尔滨,06:49,铁力,当天09:23,09:26,佳木斯,12:43
K7117/K7120,快速,鹤北,06:31,铁力,当天12:18,12:20,哈尔滨东,15:00
K7128,快速,伊春,14:37,铁力,当天18:21,18:24,哈尔滨东,21:00
K7201,快速,香坊,17:41,铁力,当天20:42,20:50,同江,04:51
K7202,快速,同江,19:16,铁力,第2日03:25,03:27,香坊,07:57
K7239,快速,哈尔滨东,05:23,铁力,当天08:50,08:50,铁力,08:50
K7240,快速,铁力,09:51,铁力,当天09:51,09:51,哈尔滨东,12:40
K7244,快速,神树,13:51,铁力,当天14:22,14:24,绥化,16:08
K929,快速,大连,16:38,铁力,第2日07:49,07:52,佳木斯,11:59
L7001/L7004/L7005,临客,富裕,05:45,铁力,当天15:39,15:42,抚远,05:33
L7002/L7003/L7006,临客,抚远,13:40,铁力,第2日02:03,02:05,富裕,16:35
L7011,临客,绥化,21:50,铁力,当天23:14,23:16,抚远,14:10
L7012,临客,抚远,18:50,铁力,第2日09:55,09:57,绥化,11:25
