车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
7511/7514,普慢,银川,06:20,同心,当天12:45,12:51,长庆桥,19:34
K1085/K1088,快速,西安,17:38,同心,第2日03:14,03:19,银川,07:58
K1086/K1087,快速,银川,18:00,同心,当天22:48,22:51,西安,08:28
K1306/K1307,快速,银川,16:43,同心,当天21:38,21:43,西安,08:17
K1549/K1552,快速,银川,23:30,同心,第2日05:03,05:06,重庆,07:39
K359/K362,快速,银川,20:38,同心,第2日01:01,01:03,上海,06:06
K360/K361,快速,上海,09:23,同心,第2日15:15,15:17,银川,20:04
K6965,快速,平凉,23:50,同心,第2日04:13,04:20,兰州,11:06
K6966,快速,兰州,20:50,同心,第2日05:35,05:38,平凉,08:50
K9663,快速,长庆桥,19:57,同心,第2日01:27,01:31,兰州,09:19
K9664,快速,兰州,19:59,同心,第2日02:39,02:43,长庆桥,08:39
