车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2035/2038,普快,图们,19:56,图们,当天19:56,19:56,香坊,08:30
2036/2037,普快,香坊,19:55,图们,第2日07:40,07:40,图们,07:40
2167,普快,长春,18:41,图们,第2日04:00,04:25,牡丹江,09:53
4289,普快,延吉,05:06,图们,当天05:56,05:56,图们,05:56
4290,普快,图们,05:59,图们,当天05:59,05:59,延吉,07:14
4343,普快,吉林,06:35,图们,当天14:35,14:35,图们,14:35
4344,普快,图们,06:55,图们,当天06:55,06:55,吉林,15:38
K2035/K2038,快速,图们,20:43,图们,当天20:43,20:43,香坊,06:53
K2036/K2037,快速,香坊,19:55,图们,第2日06:45,06:45,图们,06:45
K216,快速,图们,11:22,图们,当天11:22,11:22,北京,11:53
K5035/K5038,快速,图们,04:43,图们,当天04:43,04:43,白河,10:13
K5036/K5037,快速,白河,16:35,图们,当天22:13,22:13,图们,22:13
K5055/K5058,快速,图们,07:31,图们,当天07:31,07:31,通化,21:38
K5056/K5057,快速,通化,05:55,图们,当天18:10,18:10,图们,18:10
K5059,快速,沈阳,20:21,图们,第2日09:55,09:55,图们,09:55
K5060,快速,图们,20:00,图们,当天20:00,20:00,沈阳,10:26
K5071,快速,长春,17:37,图们,第2日04:33,04:33,图们,04:33
K5072,快速,图们,08:43,图们,当天08:43,08:43,长春,18:32
K7367,快速,长春,21:02,图们,第2日06:47,06:47,图们,06:47
K7368,快速,图们,20:29,图们,当天20:29,20:29,长春,05:45
K7369,快速,营口,12:32,图们,第2日07:40,07:40,图们,07:40
K7370,快速,图们,17:00,图们,当天17:00,17:00,营口,11:12
