车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2613/2616,普快,连云港东,16:41,涡阳,当天22:11,22:15,汉口,05:42
2614/2615,普快,汉口,17:55,涡阳,第2日00:18,00:22,连云港东,06:55
3782,普快,东莞东,01:20,涡阳,第2日05:42,05:47,徐州,08:25
K1045/K1048,快速,上海,20:28,涡阳,第2日05:35,05:40,漯河,12:01
K1046/K1047,快速,漯河,14:40,涡阳,当天20:07,20:11,上海,05:15
K1050/K1051,快速,温州,23:00,涡阳,第2日19:25,19:29,青岛北,06:10
K1065/K1068,快速,汉口,11:39,涡阳,当天17:42,17:48,威海,08:01
K1201/K1204,快速,烟台,12:38,涡阳,第2日02:07,02:12,贵阳,04:45
K1202/K1203,快速,贵阳,16:01,涡阳,第2日18:37,18:41,烟台,10:08
K1623/K1626,快速,连云港东,16:36,涡阳,当天22:11,22:15,汉口,05:12
K301/K304,快速,连云港东,11:41,涡阳,当天17:03,17:11,广州,15:13
K302,快速,广州,21:06,涡阳,第2日18:24,18:29,徐州,21:10
K5541/K5544,快速,阜阳,14:06,涡阳,当天15:29,15:39,上海,00:45
K5542/K5543,快速,上海,02:30,涡阳,当天12:02,12:07,阜阳,13:17
K5571/K5574,快速,阜阳,12:42,涡阳,当天14:07,14:14,上海,23:57
K5572/K5573,快速,上海,21:14,涡阳,第2日08:13,08:20,阜阳,09:30
K5576/K5577,快速,上海,21:14,涡阳,第2日09:33,09:38,阜阳,11:00
K5595,快速,徐州,15:08,涡阳,当天17:32,17:37,阜阳,19:10
K5601/K5604,快速,阜阳,13:26,涡阳,当天14:49,14:54,宁波,05:58
K5602/K5603,快速,宁波,18:53,涡阳,第2日10:35,10:43,阜阳,12:36
K5627,快速,淮北,16:45,涡阳,当天17:45,17:52,合肥,22:23
K5628,快速,合肥,10:30,涡阳,当天14:26,14:31,淮北,15:55
K5668,快速,合肥,16:48,涡阳,当天20:37,20:42,淮北,22:21
K68/K69,快速,福州,15:50,涡阳,第2日08:18,08:24,青岛,20:52
K8411/K8414,快速,连云港东,06:30,涡阳,当天11:24,11:27,芜湖,18:05
K8412/K8413,快速,芜湖,07:15,涡阳,当天13:25,13:31,连云港东,19:55
K8421,快速,淮北,14:48,涡阳,当天15:42,15:50,芜湖,22:10
K8422,快速,合肥,08:07,涡阳,当天12:19,12:25,淮北,13:58
K8481/K8484,快速,阜阳,20:50,涡阳,当天21:40,21:47,上海,06:47
K8482/K8483,快速,上海,21:43,涡阳,第2日07:01,07:05,阜阳,08:17
