车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2261,普快,天津,14:23,乌兰浩特,第2日07:08,07:08,乌兰浩特,07:08
2262,普快,乌兰浩特,17:06,乌兰浩特,当天17:06,17:06,天津,13:10
4201,普快,白城,08:33,乌兰浩特,当天09:48,09:48,乌兰浩特,09:48
4202,普快,乌兰浩特,17:52,乌兰浩特,当天17:52,17:52,白城,19:29
4345,普快,白城,21:12,乌兰浩特,当天22:22,22:28,阿尔山,04:09
4346,普快,阿尔山,06:38,乌兰浩特,当天12:15,12:23,白城,13:32
K1355/K1358,快速,大庆西,12:47,乌兰浩特,当天18:05,18:05,乌兰浩特,18:05
K1356/K1357,快速,乌兰浩特,06:32,乌兰浩特,当天06:32,06:32,大庆西,12:13
K2011/K2014,快速,呼和浩特,16:10,乌兰浩特,第2日12:45,12:45,乌兰浩特,12:45
K2012/K2013,快速,乌兰浩特,15:20,乌兰浩特,当天15:20,15:20,呼和浩特,11:41
K4410,快速,乌兰浩特,07:29,乌兰浩特,当天07:29,07:29,北京,00:35
K7303,快速,长春,12:09,乌兰浩特,当天17:43,17:43,乌兰浩特,17:43
K7304,快速,乌兰浩特,06:07,乌兰浩特,当天06:07,06:07,长春,11:25
K7307,快速,白城,09:38,乌兰浩特,当天10:41,10:41,乌兰浩特,10:41
K7308,快速,乌兰浩特,18:05,乌兰浩特,当天18:05,18:05,白城,19:07
K7313,快速,白城,04:16,乌兰浩特,当天05:13,05:13,乌兰浩特,05:13
K7314,快速,乌兰浩特,20:30,乌兰浩特,当天20:30,20:30,白城,21:32
K7565,快速,沈阳,19:30,乌兰浩特,第2日03:21,03:29,阿尔山,07:58
K7566,快速,阿尔山,21:05,乌兰浩特,第2日01:28,01:34,沈阳,10:17
K7597,快速,白城,17:15,乌兰浩特,当天18:12,18:12,乌兰浩特,18:12
K7598,快速,乌兰浩特,19:35,乌兰浩特,当天19:35,19:35,白城,20:37
