车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
C2201,城际高速,北京南,06:32,武清,当天06:56,06:57,天津,07:13
C2202,城际高速,天津,06:38,武清,当天06:53,06:54,北京南,07:19
C2203,城际高速,北京南,07:31,武清,当天07:55,07:56,天津,08:12
C2204,城际高速,天津,07:00,武清,当天07:15,07:16,北京南,07:41
C2205,城际高速,北京南,08:08,武清,当天08:32,08:33,天津,08:49
C2206,城际高速,天津,07:28,武清,当天07:43,07:44,北京南,08:09
C2207,城际高速,北京南,08:52,武清,当天09:16,09:17,天津,09:33
C2208,城际高速,天津,07:44,武清,当天07:59,08:00,北京南,08:25
C2209,城际高速,北京南,09:45,武清,当天10:09,10:10,天津,10:26
C2210,城际高速,天津,08:51,武清,当天09:06,09:07,北京南,09:32
C2211,城际高速,北京南,10:16,武清,当天10:40,10:41,天津,10:57
C2212,城际高速,天津,09:12,武清,当天09:27,09:28,北京南,09:53
C2213,城际高速,北京南,10:54,武清,当天11:18,11:19,天津,11:35
C2214,城际高速,天津,09:37,武清,当天09:52,09:53,北京南,10:18
C2215,城际高速,北京南,12:06,武清,当天12:30,12:31,天津,12:47
C2216,城际高速,天津,10:14,武清,当天10:29,10:30,北京南,10:55
C2217,城际高速,北京南,12:32,武清,当天12:56,12:57,天津,13:13
C2218,城际高速,天津,10:47,武清,当天11:02,11:03,北京南,11:28
C2219,城际高速,北京南,13:00,武清,当天13:24,13:25,天津,13:41
C2220,城际高速,天津,11:40,武清,当天11:55,11:56,北京南,12:21
C2221,城际高速,北京南,13:40,武清,当天14:04,14:05,天津,14:21
C2222,城际高速,天津,12:47,武清,当天13:02,13:03,北京南,13:28
C2223,城际高速,北京南,14:02,武清,当天14:26,14:27,天津,14:43
C2224,城际高速,天津,13:50,武清,当天14:05,14:06,北京南,14:31
C2225,城际高速,北京南,15:12,武清,当天15:36,15:37,天津,15:53
C2226,城际高速,天津,14:29,武清,当天14:44,14:45,北京南,15:10
C2227,城际高速,北京南,15:50,武清,当天16:14,16:15,天津,16:31
C2228,城际高速,天津,14:53,武清,当天15:08,15:09,北京南,15:34
C2229,城际高速,北京南,16:08,武清,当天16:32,16:33,天津,16:49
C2230,城际高速,天津,15:39,武清,当天15:54,15:55,北京南,16:20
C2231,城际高速,北京南,17:09,武清,当天17:33,17:34,天津,17:50
C2232,城际高速,天津,16:09,武清,当天16:24,16:25,北京南,16:50
C2233,城际高速,北京南,17:31,武清,当天17:55,17:56,天津,18:12
C2234,城际高速,天津,16:33,武清,当天16:48,16:49,北京南,17:14
C2235,城际高速,北京南,17:52,武清,当天18:16,18:17,天津,18:33
C2236,城际高速,天津,17:23,武清,当天17:38,17:39,北京南,18:04
C2237,城际高速,北京南,18:28,武清,当天18:52,18:53,天津,19:09
C2238,城际高速,天津,17:47,武清,当天18:02,18:03,北京南,18:28
C2239,城际高速,北京南,19:26,武清,当天19:50,19:51,天津,20:07
C2240,城际高速,天津,18:23,武清,当天18:38,18:39,北京南,19:04
C2241,城际高速,北京南,20:15,武清,当天20:39,20:40,天津,20:56
C2242,城际高速,天津,18:59,武清,当天19:14,19:15,北京南,19:40
C2243,城际高速,北京南,20:34,武清,当天20:58,20:59,天津,21:15
C2244,城际高速,天津,19:55,武清,当天20:10,20:11,北京南,20:36
C2245,城际高速,北京南,20:56,武清,当天21:20,21:21,天津,21:37
C2246,城际高速,天津,21:11,武清,当天21:26,21:27,北京南,21:52
