车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
C2900,城际高速,郑州,07:16,武陟,当天07:49,07:51,焦作,08:14
C2902/C2903,城际高速,焦作,11:14,武陟,当天11:36,11:38,郑州,12:00
C2907,城际高速,焦作,15:34,武陟,当天15:56,15:58,郑州,16:26
C2909/C2912,城际高速,焦作,17:45,武陟,当天18:07,18:10,郑州,18:31
C2910/C2911,城际高速,郑州,16:46,武陟,当天17:07,17:09,焦作,17:26
C2913,城际高速,焦作,17:03,武陟,当天17:19,17:21,郑州,17:45
C2914,城际高速,郑州,18:05,武陟,当天18:26,18:36,焦作,19:00
C2915,城际高速,焦作,19:38,武陟,当天20:01,20:04,郑州,20:34
C2916,城际高速,郑州,13:02,武陟,当天13:31,13:35,焦作,13:59
C2917,城际高速,焦作,14:17,武陟,当天14:40,14:43,郑州,15:12
C2918,城际高速,郑州,15:41,武陟,当天16:08,16:10,焦作,16:33
C2919,城际高速,焦作,16:50,武陟,当天17:06,17:08,郑州,17:46
C2921,城际高速,焦作,08:32,武陟,当天08:54,08:56,新郑机场,10:13
C2922,城际高速,郑州,07:06,武陟,当天07:39,07:41,焦作,08:04
C2924,城际高速,新郑机场,11:22,武陟,当天12:21,12:23,焦作,12:40
C2927,城际高速,焦作,16:49,武陟,当天17:11,17:13,郑州,17:40
C2928,城际高速,郑州,15:41,武陟,当天16:08,16:10,焦作,16:33
C2930,城际高速,郑州,17:55,武陟,当天18:25,18:33,焦作,18:57
C2935,城际高速,焦作,13:45,武陟,当天14:01,14:03,郑州,14:25
C2936,城际高速,郑州,14:48,武陟,当天15:08,15:10,焦作,15:27
C2937,城际高速,焦作,16:08,武陟,当天16:24,16:28,郑州,16:58
C2951,城际高速,焦作,10:34,武陟,当天10:50,10:52,郑州,11:16
C2952/C2953,城际高速,焦作,12:29,武陟,当天12:45,12:47,郑州,13:17
C2982,城际高速,郑州,10:11,武陟,当天10:44,10:46,焦作,11:09
C2983,城际高速,焦作,09:14,武陟,当天09:36,09:38,郑州,10:00
C2984,城际高速,郑州,13:06,武陟,当天13:39,13:41,焦作,14:04
C2986,城际高速,郑州,10:20,武陟,当天10:47,10:49,焦作,11:12
C2987,城际高速,焦作,14:33,武陟,当天14:55,14:57,郑州,15:19
C2988,城际高速,郑州,13:06,武陟,当天13:33,13:35,焦作,13:58
C2991/C2994,城际高速,焦作,19:24,武陟,当天19:46,19:48,郑州东,20:43
C2992/C2993,城际高速,郑州东,09:33,武陟,当天10:26,10:28,焦作,10:51
