车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2302,动车组,深圳北,08:05,厦门,当天11:49,11:49,厦门,11:49
D2305,动车组,厦门,16:21,厦门,当天16:21,16:21,深圳北,20:14
D2316,动车组,深圳北,10:26,厦门,当天14:19,14:19,厦门,14:19
D2317,动车组,厦门,14:39,厦门,当天14:39,14:39,深圳北,18:33
D2333,动车组,厦门,14:53,厦门,当天14:53,14:53,深圳北,18:53
D2334,动车组,深圳北,10:11,厦门,当天14:12,14:12,厦门,14:12
D2335,动车组,厦门,07:56,厦门,当天07:56,07:56,深圳北,11:54
D2336,动车组,深圳北,19:21,厦门,当天22:59,22:59,厦门,22:59
D2337,动车组,厦门,16:39,厦门,当天16:39,16:39,深圳北,20:29
D2338,动车组,深圳北,12:24,厦门,当天16:23,16:23,厦门,16:23
D2375/D2378,动车组,重庆北,06:00,厦门,当天21:00,21:00,厦门,21:00
D6201,动车组,福州,06:21,厦门,当天08:32,08:32,厦门,08:32
D6202,动车组,厦门,06:51,厦门,当天06:51,06:51,福州,09:04
D6204,动车组,厦门,08:02,厦门,当天08:02,08:02,福州,10:29
D6206,动车组,厦门,09:01,厦门,当天09:01,09:01,福州,11:23
D6207,动车组,福州,07:25,厦门,当天09:32,09:32,厦门,09:32
D6208,动车组,厦门,10:01,厦门,当天10:01,10:01,福州,12:05
D6210,动车组,厦门,11:39,厦门,当天11:39,11:39,福州,14:00
D6212,动车组,厦门,12:55,厦门,当天12:55,12:55,福州,15:12
D6214,动车组,厦门,13:14,厦门,当天13:14,13:14,福州,15:31
D6216,动车组,厦门,15:02,厦门,当天15:02,15:02,福州,17:15
D6217,动车组,福州,08:51,厦门,当天11:07,11:07,厦门,11:07
D6219,动车组,福州,10:07,厦门,当天12:23,12:23,厦门,12:23
D6220,动车组,厦门,16:33,厦门,当天16:33,16:33,福州,18:39
D6223,动车组,福州,12:10,厦门,当天14:27,14:27,厦门,14:27
D6224,动车组,厦门,18:10,厦门,当天18:10,18:10,福州,20:02
D6225,动车组,福州,12:40,厦门,当天15:03,15:03,厦门,15:03
D6226,动车组,厦门,17:15,厦门,当天17:15,17:15,福州,19:31
D6227,动车组,福州,14:19,厦门,当天16:17,16:17,厦门,16:17
D6228,动车组,厦门,19:20,厦门,当天19:20,19:20,福州,21:36
D6229,动车组,福州,15:47,厦门,当天17:53,17:53,厦门,17:53
D6231,动车组,福州,14:52,厦门,当天16:54,16:54,厦门,16:54
D6233,动车组,福州,15:28,厦门,当天17:33,17:33,厦门,17:33
D6234,动车组,厦门,20:35,厦门,当天20:35,20:35,福州,22:44
D6235,动车组,福州,17:31,厦门,当天19:37,19:37,厦门,19:37
D6237,动车组,福州,18:35,厦门,当天21:11,21:11,厦门,21:11
D6238,动车组,厦门,15:31,厦门,当天15:31,15:31,福州,17:47
D6239,动车组,莆田,07:43,厦门,当天10:26,10:26,厦门,10:26
D6240,动车组,厦门,19:40,厦门,当天19:40,19:40,莆田,21:15
D6242,动车组,厦门,11:23,厦门,当天11:23,11:23,武夷山东,15:07
D6261,动车组,福州南,14:55,厦门,当天16:46,16:46,厦门,16:46
D6262,动车组,厦门,17:10,厦门,当天17:10,17:10,福州南,19:11
D6309,动车组,福州南,10:49,厦门,当天13:04,13:04,厦门,13:04
