车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K1073,快速,济南,18:18,咸宁,第2日08:46,08:57,长沙,13:02
K1074,快速,长沙,15:00,咸宁,当天18:42,19:22,济南,09:33
K1079,快速,武昌,16:45,咸宁,当天17:37,17:48,广州,06:00
K1080,快速,广州,20:55,咸宁,第2日09:07,09:10,武昌,10:25
K109,快速,武昌,09:45,咸宁,当天10:44,10:47,昆明,12:20
K1160/K1161,快速,广州,08:15,咸宁,当天19:56,19:58,烟台,21:36
K1201/K1204,快速,烟台,12:38,咸宁,第2日10:44,10:48,贵阳,04:45
K1202/K1203,快速,贵阳,16:01,咸宁,第2日09:36,09:39,烟台,10:08
K1348/K1349,快速,深圳,08:10,咸宁,当天21:40,22:23,西安,13:30
K157,快速,北京西,18:12,咸宁,第2日11:01,11:04,湛江,06:50
K158,快速,湛江,19:30,咸宁,第2日14:28,14:30,北京西,05:52
K1803,快速,武昌,09:38,咸宁,当天10:25,10:36,湛江,07:20
K226/K227,快速,广州,20:20,咸宁,第2日08:26,08:28,兰州,08:44
K237/K240,快速,太原,23:15,咸宁,第2日22:36,22:46,深圳西,13:40
K355/K358,快速,重庆北,23:20,咸宁,第2日16:45,16:50,广州,05:12
K356/K357,快速,广州,09:22,咸宁,当天21:15,21:26,重庆北,15:30
K4101,快速,武昌,06:03,咸宁,当天07:38,08:20,广州东,21:46
K4106,快速,广州东,17:51,咸宁,第2日10:07,10:24,汉口,12:23
K4239,快速,武昌,10:43,咸宁,当天12:07,12:28,深圳,03:35
K434,快速,玉溪,20:40,咸宁,第3日03:49,03:51,北京西,22:03
K436/K437,快速,惠州,20:20,咸宁,第2日10:47,10:50,武昌,11:50
K472,快速,昆明,22:25,咸宁,第3日03:49,03:51,北京西,22:03
K756/K757,快速,广州,18:54,咸宁,第2日07:09,07:11,洛阳,19:30
T146/T147,空调特快,南昌,12:10,咸宁,当天20:26,20:36,北京,10:52
T95,空调特快,汉口,18:38,咸宁,当天19:55,19:58,深圳,08:52
T96,空调特快,深圳,15:25,咸宁,第2日04:06,04:15,汉口,05:31
Z168/Z169,直达特快,广州东,22:52,咸宁,第2日09:55,09:58,青岛,05:22
Z236/Z237,直达特快,广州东,19:50,咸宁,第2日06:37,06:39,哈尔滨西,06:49
