车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
5365,普快,长沙,06:30,湘潭,当天08:18,08:23,韶山,09:08
5366,普快,韶山,17:30,湘潭,当天18:18,18:20,长沙,20:25
C6952,城际高速,湘潭,07:00,湘潭,当天07:00,07:00,长沙,07:37
C6953,城际高速,长沙,07:55,湘潭,当天08:39,08:39,湘潭,08:39
C6954,城际高速,湘潭,08:55,湘潭,当天08:55,08:55,长沙,09:45
C6955,城际高速,长沙,10:00,湘潭,当天10:47,10:47,湘潭,10:47
C6956,城际高速,湘潭,11:02,湘潭,当天11:02,11:02,长沙,11:56
C6957,城际高速,长沙,12:11,湘潭,当天13:00,13:00,湘潭,13:00
C6958,城际高速,湘潭,13:15,湘潭,当天13:15,13:15,长沙,13:59
C6959,城际高速,长沙,14:15,湘潭,当天14:55,14:55,湘潭,14:55
C6960,城际高速,湘潭,15:10,湘潭,当天15:10,15:10,长沙,16:00
C6961,城际高速,长沙,16:15,湘潭,当天17:05,17:05,湘潭,17:05
C6962,城际高速,湘潭,17:20,湘潭,当天17:20,17:20,长沙,18:02
C6963,城际高速,长沙,18:20,湘潭,当天18:57,18:57,湘潭,18:57
C6964,城际高速,湘潭,19:15,湘潭,当天19:15,19:15,长沙,20:08
C6965,城际高速,长沙,20:25,湘潭,当天21:17,21:17,湘潭,21:17
C6966,城际高速,湘潭,21:40,湘潭,当天21:40,21:40,长沙,22:29
C6967,城际高速,长沙,07:00,湘潭,当天07:37,07:37,湘潭,07:37
C6968,城际高速,湘潭,07:55,湘潭,当天07:55,07:55,长沙,08:41
C6969,城际高速,长沙,09:00,湘潭,当天09:51,09:51,湘潭,09:51
C6970,城际高速,湘潭,10:05,湘潭,当天10:05,10:05,长沙,10:55
C6971,城际高速,长沙,11:11,湘潭,当天12:04,12:04,湘潭,12:04
C6972,城际高速,湘潭,12:19,湘潭,当天12:19,12:19,长沙,13:08
C6973,城际高速,长沙,13:23,湘潭,当天14:03,14:03,湘潭,14:03
C6974,城际高速,湘潭,14:20,湘潭,当天14:20,14:20,长沙,15:09
C6975,城际高速,长沙,15:25,湘潭,当天16:15,16:15,湘潭,16:15
C6976,城际高速,湘潭,16:30,湘潭,当天16:30,16:30,长沙,17:14
C6977,城际高速,长沙,17:30,湘潭,当天18:23,18:23,湘潭,18:23
C6978,城际高速,湘潭,18:40,湘潭,当天18:40,18:40,长沙,19:24
C6979,城际高速,长沙,19:39,湘潭,当天20:30,20:30,湘潭,20:30
C6980,城际高速,湘潭,20:45,湘潭,当天20:45,20:45,长沙,21:35
C6981,城际高速,长沙,21:50,湘潭,当天22:47,22:47,湘潭,22:47
C6982,城际高速,湘潭,21:00,湘潭,当天21:00,21:00,长沙,22:07
C6983,城际高速,长沙,07:23,湘潭,当天08:06,08:06,湘潭,08:06
C6984,城际高速,湘潭,08:23,湘潭,当天08:23,08:23,长沙,09:15
C6985,城际高速,长沙,11:55,湘潭,当天12:45,12:45,湘潭,12:45
C6986,城际高速,湘潭,13:01,湘潭,当天13:01,13:01,长沙,13:50
C6987,城际高速,长沙,16:35,湘潭,当天17:29,17:29,湘潭,17:29
C6988,城际高速,湘潭,17:45,湘潭,当天17:45,17:45,长沙,18:34
C6989,城际高速,长沙,18:00,湘潭,当天19:08,19:08,湘潭,19:08
C6990,城际高速,湘潭,19:46,湘潭,当天19:46,19:46,长沙,20:46
K1076/K1077,快速,重庆北,23:53,湘潭,第2日16:10,16:16,宁波,06:52
K109,快速,武昌,09:45,湘潭,当天15:19,15:25,昆明,12:20
K111,快速,上海南,15:05,湘潭,第2日06:03,06:09,贵阳,18:26
K112,快速,贵阳,09:34,湘潭,当天21:58,22:03,上海南,12:47
K1201/K1204,快速,烟台,12:38,湘潭,第2日15:36,15:42,贵阳,04:45
K1202/K1203,快速,贵阳,16:01,湘潭,第2日04:31,04:42,烟台,10:08
K1236,快速,昆明,12:49,湘潭,第2日09:31,09:35,九江,17:02
K1245/K1248,快速,宁波,16:58,湘潭,第2日08:08,08:12,重庆,09:24
K1523,快速,九江,13:06,湘潭,当天20:40,20:45,南宁,11:04
K1524,快速,南宁,14:30,湘潭,第2日03:14,03:20,九江,10:16
K155,快速,南京,16:23,湘潭,第2日09:48,09:53,昆明,07:04
K156,快速,昆明,19:18,湘潭,第2日15:44,15:49,南京,09:48
K1561/K1564,快速,济南,21:31,湘潭,第2日20:32,20:38,南宁,13:46
K1779/K1782,快速,长沙,21:04,湘潭,当天21:55,22:00,南宁,11:38
K1780/K1781,快速,南宁,13:48,湘潭,第2日03:00,03:06,长沙,04:48
K1803,快速,武昌,09:38,湘潭,当天14:56,15:04,湛江,07:20
K191/K194,快速,成都,09:05,湘潭,第2日04:11,04:16,广州,13:30
K321,快速,合肥,20:42,湘潭,第2日08:33,08:36,昆明,05:25
K322,快速,昆明,11:02,湘潭,第2日08:29,08:34,合肥,21:40
K333/K336,快速,厦门,18:40,湘潭,第2日11:43,11:48,重庆北,05:30
K334/K335,快速,重庆北,13:20,湘潭,第2日04:04,04:10,厦门,20:50
K337,快速,郑州,19:52,湘潭,第2日09:36,09:39,昆明,05:58
K338,快速,昆明,19:44,湘潭,第2日15:58,16:04,郑州,05:09
K432/K433,快速,北京西,08:42,湘潭,第2日05:04,05:09,玉溪,06:56
K434,快速,玉溪,20:40,湘潭,第2日22:32,22:39,北京西,22:03
K4342,快速,怀化,16:47,湘潭,当天22:14,22:20,杭州,14:24
K471,快速,北京西,08:42,湘潭,第2日05:04,05:09,昆明,05:09
K472,快速,昆明,22:25,湘潭,第2日22:37,22:40,北京西,22:03
K475/K478,快速,福州,10:15,湘潭,第2日00:46,00:51,贵阳,13:19
K485/K488,快速,成都东,14:00,湘潭,第2日18:57,19:03,深圳,06:00
K486/K487,快速,深圳,15:37,湘潭,第2日01:57,02:01,成都东,07:03
K575,快速,上海南,14:18,湘潭,第2日04:30,04:35,永州,09:05
K576,快速,永州,15:36,湘潭,当天19:54,20:00,上海南,11:18
K577/K580,快速,长沙,14:22,湘潭,当天15:51,15:55,成都东,11:30
K578/K579,快速,成都东,08:50,湘潭,第2日03:33,03:37,长沙,05:58
K581/K584,快速,宁波,08:16,湘潭,当天22:48,22:54,南宁,12:18
K582/K583,快速,南宁,21:55,湘潭,第2日14:26,14:32,宁波,06:17
K635/K638,快速,福州,16:08,湘潭,第2日07:58,08:05,昆明,08:18
K636/K637,快速,昆明,20:27,湘潭,第2日18:43,18:48,福州,10:10
K64/K65,快速,广州,12:10,湘潭,当天20:47,20:52,贵阳,09:22
K6525/K6528,快速,娄底,10:38,湘潭,当天11:53,11:58,肇庆,00:25
K6577/K6580,快速,怀化,06:10,湘潭,当天11:25,11:30,深圳西,23:15
K6597,快速,长沙,13:48,湘潭,当天14:39,14:44,怀化,20:48
K6598,快速,怀化,23:12,湘潭,第2日05:13,05:18,长沙,06:18
K6673,快速,长沙,18:00,湘潭,当天18:51,18:54,怀化,00:10
K6674,快速,怀化,09:40,湘潭,当天16:02,16:05,长沙,17:19
K721/K724,快速,昆明,18:53,湘潭,第2日15:52,15:57,南通,11:15
K740,快速,昆明,23:35,湘潭,第2日22:06,22:12,上海南,14:33
K776/K777,快速,广州,12:50,湘潭,当天21:25,21:29,重庆北,12:05
K779,快速,长沙,20:00,湘潭,当天21:28,21:32,南宁,11:04
K780,快速,南宁,13:20,湘潭,第2日02:53,02:58,长沙,05:08
K812/K813,快速,达州,17:38,湘潭,第2日10:14,10:20,广州,19:24
K831/K834,快速,遵义西,21:53,湘潭,第2日14:50,14:55,上海南,05:30
K833,快速,上海南,07:31,湘潭,当天21:49,21:53,贵阳,10:07
K846/K847,快速,贵阳,22:20,湘潭,第2日10:26,10:30,宁波,05:11
K875/K878,快速,烟台,18:09,湘潭,第2日21:13,21:17,昆明,20:33
K9013,快速,长沙,11:28,湘潭,当天12:20,12:26,怀化,18:30
K9014,快速,怀化,08:50,湘潭,当天14:38,14:41,长沙,15:50
K9031/K9034,快速,长沙,20:36,湘潭,当天21:38,21:44,张家界,07:22
K9032/K9033,快速,张家界,19:00,湘潭,第2日03:57,04:01,长沙,05:28
K9052/K9053,快速,深圳东,14:48,湘潭,第2日00:57,01:08,怀化,07:00
K9059/K9062,快速,怀化,13:17,湘潭,当天19:14,19:20,深圳西,06:50
K9060/K9061,快速,深圳西,19:50,湘潭,第2日06:12,06:20,怀化,12:36
K9068/K9069,快速,肇庆,18:46,湘潭,第2日05:17,05:22,张家界,14:55
K9083/K9086,快速,邵阳,20:02,湘潭,当天22:54,23:00,深圳西,10:25
K9084/K9085,快速,深圳西,17:13,湘潭,第2日04:40,04:45,邵阳,07:52
K941/K944,快速,温州,07:30,湘潭,当天21:19,21:23,贵阳,09:51
K942/K943,快速,贵阳,11:15,湘潭,当天23:39,23:44,温州,14:27
K945/K948,快速,贵阳,20:56,湘潭,第2日09:19,09:25,厦门,07:30
K946/K947,快速,厦门,20:15,湘潭,第2日16:17,16:20,贵阳,05:13
T3211,空调特快,上海南,11:41,湘潭,第2日01:41,01:45,怀化,07:30
