车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K1249/K1252,快速,重庆,16:00,湘乡,第2日14:15,14:25,上海南,08:19
K1523,快速,九江,13:06,湘乡,当天21:13,21:24,南宁,11:04
K156,快速,昆明,19:18,湘乡,第2日15:10,15:13,南京,09:48
K1779/K1782,快速,长沙,21:04,湘乡,当天22:28,22:31,南宁,11:38
K1803,快速,武昌,09:38,湘乡,当天15:32,15:36,湛江,07:20
K322,快速,昆明,11:02,湘乡,第2日07:32,07:37,合肥,21:40
K432/K433,快速,北京西,08:42,湘乡,第2日05:37,05:40,玉溪,06:56
K434,快速,玉溪,20:40,湘乡,第2日21:56,21:59,北京西,22:03
K471,快速,北京西,08:42,湘乡,第2日05:37,05:40,昆明,05:09
K472,快速,昆明,22:25,湘乡,第2日21:56,21:59,北京西,22:03
K575,快速,上海南,14:18,湘乡,第2日05:03,05:07,永州,09:05
K576,快速,永州,15:36,湘乡,当天19:20,19:23,上海南,11:18
K577/K580,快速,长沙,14:22,湘乡,当天16:23,16:26,成都东,11:30
K6525/K6528,快速,娄底,10:38,湘乡,当天11:17,11:23,肇庆,00:25
K6597,快速,长沙,13:48,湘乡,当天15:12,15:16,怀化,20:48
K6674,快速,怀化,09:40,湘乡,当天14:40,15:07,长沙,17:19
K721/K724,快速,昆明,18:53,湘乡,第2日15:19,15:21,南通,11:15
K739,快速,上海南,19:36,湘乡,第2日11:55,12:00,昆明,08:18
K779,快速,长沙,20:00,湘乡,当天22:00,22:03,南宁,11:04
K780,快速,南宁,13:20,湘乡,第2日02:19,02:23,长沙,05:08
K79,快速,上海南,18:26,湘乡,第2日09:38,09:41,昆明,06:07
K846/K847,快速,贵阳,22:20,湘乡,第2日09:52,09:55,宁波,05:11
K9013,快速,长沙,11:28,湘乡,当天12:54,12:58,怀化,18:30
K9014,快速,怀化,08:50,湘乡,当天14:04,14:07,长沙,15:50
K9031/K9034,快速,长沙,20:36,湘乡,当天22:12,22:16,张家界,07:22
K9083/K9086,快速,邵阳,20:02,湘乡,当天22:20,22:23,深圳西,10:25
K9084/K9085,快速,深圳西,17:13,湘乡,第2日05:13,05:18,邵阳,07:52
K942/K943,快速,贵阳,11:15,湘乡,当天23:05,23:08,温州,14:27
K945/K948,快速,贵阳,20:56,湘乡,第2日08:44,08:48,厦门,07:30
T8303,空调特快,长沙,11:28,湘乡,当天12:54,12:58,怀化,18:26
T8304,空调特快,怀化,08:50,湘乡,当天14:00,14:03,长沙,15:50
