车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3902/3903,普快,汉口,23:59,孝感,第2日00:46,01:05,乌鲁木齐南,04:29
K1276/K1277,快速,南昌,09:52,孝感,当天16:15,16:20,包头,20:30
K1316/K1317,快速,福州,11:50,孝感,第2日01:24,01:29,呼和浩特东,08:30
K157,快速,北京西,18:12,孝感,第2日08:35,08:47,湛江,06:50
K158,快速,湛江,19:30,孝感,第2日16:34,16:36,北京西,05:52
K1627,快速,郑州,17:15,孝感,当天23:14,23:17,南宁,19:08
K1628,快速,南宁,14:50,孝感,第2日10:03,10:06,郑州,15:39
K21,快速,北京西,08:06,孝感,当天23:39,23:42,南宁,19:35
K226/K227,快速,广州,20:20,孝感,第2日10:45,10:48,兰州,08:44
K237/K240,快速,太原,23:15,孝感,第2日20:05,20:16,深圳西,13:40
K337,快速,郑州,19:52,孝感,第2日01:32,01:35,昆明,05:58
K4105,快速,广水,23:11,孝感,第2日00:13,00:23,广州东,16:16
K4210,快速,广州,21:31,孝感,第2日14:23,14:35,信阳,16:07
K4315,快速,呼和浩特东,19:59,孝感,第3日01:20,01:28,福州,16:18
K4316,快速,汉口,10:40,孝感,当天12:00,12:03,北京,02:30
K4317,快速,北京,02:23,孝感,当天18:32,18:37,汉口,20:05
K434,快速,玉溪,20:40,孝感,第3日06:32,06:35,北京西,22:03
K472,快速,昆明,22:25,孝感,第3日06:32,06:35,北京西,22:03
K598/K599,快速,包头,17:30,孝感,第2日19:38,19:42,广州,11:12
K8057,快速,广水,17:04,孝感,当天18:12,18:15,汉口,19:05
K8058,快速,汉口,10:30,孝感,当天11:25,11:29,广水,12:34
K81/K84,快速,西安,10:04,孝感,当天23:07,23:10,广州,13:09
K8117,快速,广水,17:35,孝感,当天18:38,19:05,汉口,19:53
K8118,快速,汉口,14:29,孝感,当天15:16,15:21,广水,16:18
K917/K920,快速,汉口,18:37,孝感,当天19:25,19:28,天津,14:31
K918/K919,快速,天津,15:36,孝感,第2日11:04,11:07,汉口,11:56
T121/T124,空调特快,广州,17:40,孝感,第2日06:19,06:22,长春,06:56
T191/T194,空调特快,乌鲁木齐,17:34,孝感,第3日10:38,10:43,汉口,11:25
T192/T193,空调特快,汉口,16:56,孝感,当天17:37,17:40,乌鲁木齐,08:39
T3038,空调特快,汉口,08:24,孝感,当天09:09,09:12,北京西,23:44
T3039,空调特快,北京西,03:35,孝感,当天15:07,15:10,汉口,15:49
T317/T320,空调特快,汉口,19:10,孝感,当天19:53,19:55,天津,14:12
T318/T319,空调特快,天津,15:36,孝感,第2日10:38,10:41,汉口,11:24
Z205/Z208,直达特快,长沙,18:38,孝感,当天23:07,23:10,天津,11:00
Z292,直达特快,汉口,17:40,孝感,当天18:19,18:22,乌鲁木齐,08:20
Z4010,直达特快,汉口,09:00,孝感,当天09:39,09:44,北京,01:05
Z4053,直达特快,北京西,08:20,孝感,当天20:24,20:27,昆明,19:17
Z4177,直达特快,北京西,23:50,孝感,第2日11:20,11:31,武昌,12:29
Z4189,直达特快,郑州,09:50,孝感,当天14:46,14:54,广州,04:23
Z53,直达特快,北京西,21:16,孝感,第2日07:24,07:27,昆明,07:18
