车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3273,普快,南昌,13:26,新干,当天15:26,15:29,深圳西,03:45
3274,普快,深圳西,04:55,新干,当天16:58,17:02,南昌,18:44
3613,普快,南昌,13:20,新干,当天15:15,15:18,东莞东,02:05
3614,普快,龙南,08:16,新干,当天13:22,13:30,九江,18:30
K1136/K1137,快速,青岛,17:40,新干,第2日15:44,15:47,南宁,10:45
K115,快速,九江,15:15,新干,当天18:35,18:38,深圳,05:25
K181,快速,上海南,18:26,新干,第2日05:44,05:47,韶关东,12:45
K271,快速,上海南,17:01,新干,第2日03:57,04:01,井冈山,06:10
K272,快速,井冈山,18:13,新干,当天20:16,20:19,上海南,07:46
K334/K335,快速,重庆北,13:20,新干,第2日11:19,11:22,厦门,20:50
K4298,快速,赣州,09:45,新干,当天13:10,13:15,杭州,23:35
K4326,快速,赣州,11:30,新干,当天14:54,14:58,上海南,03:08
K441,快速,南昌,15:01,新干,当天16:52,16:56,广州东,05:24
K442,快速,广州东,17:41,新干,第2日05:19,05:26,南昌,07:02
K5863,快速,南昌,16:27,新干,当天18:02,18:23,赣州,22:28
K5864,快速,赣州,23:11,新干,第2日02:22,02:56,南昌,05:10
K5865,快速,南昌,23:35,新干,第2日01:39,01:43,赣州,05:10
K5866,快速,赣州,06:13,新干,当天09:33,09:37,南昌,11:21
K5870,快速,赣州,16:03,新干,当天19:13,19:16,九江,22:52
K5881,快速,南昌,09:38,新干,当天11:57,12:23,瑞金,17:59
K5882,快速,瑞金,09:00,新干,当天14:07,14:12,南昌,16:05
K6253,快速,南昌,13:45,新干,当天15:20,15:24,井冈山,17:49
K730/K731,快速,大同,14:20,新干,第2日17:48,17:51,广州东,05:26
K8703,快速,南昌,12:52,新干,当天14:19,14:22,井冈山,16:33
K8704,快速,井冈山,08:33,新干,当天10:46,10:49,南昌,12:30
K8723,快速,南昌,13:30,新干,当天15:11,15:14,赣州,18:23
K8724,快速,赣州,07:55,新干,当天11:05,11:08,南昌,12:49
K902/K903,快速,太原,11:20,新干,第2日14:52,14:55,厦门,23:22
