车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2461/2464,普快,临汾,18:40,忻州,第2日00:22,00:25,包头,12:00
2462/2463,普快,包头,16:14,忻州,第2日02:45,02:48,临汾,08:40
2671,普快,大同,16:40,忻州,当天21:07,21:13,西安,08:51
2672,普快,西安,22:53,忻州,第2日10:52,10:57,大同,15:27
4615,普快,宁武,17:38,忻州,当天19:44,19:48,太原,21:15
4616/4617,普快,太原,08:29,忻州,当天09:54,10:00,宁武,12:13
4635,普快,忻州,08:03,忻州,当天08:03,08:03,太原,10:03
4636,普快,太原,16:52,忻州,当天18:47,18:47,忻州,18:47
6817,普慢,灵丘,08:52,忻州,当天13:56,14:01,太原,16:18
6818,普慢,太原,07:18,忻州,当天09:24,09:29,灵丘,14:26
6821,普慢,河边,07:08,忻州,当天08:00,08:00,忻州,08:00
6822,普慢,忻州,19:02,忻州,当天19:02,19:02,河边,19:54
8817,普快,灵丘,08:52,忻州,当天13:56,14:01,太原,16:18
8818,普快,太原,07:08,忻州,当天09:24,09:29,灵丘,14:26
8821,普快,忻州,19:02,忻州,当天19:02,19:02,河边,19:54
8822,普快,河边,07:05,忻州,当天07:57,07:57,忻州,07:57
K4097,快速,北京西,01:35,忻州,当天13:03,13:09,临汾,19:43
K601,快速,北京,22:23,忻州,第2日06:52,07:00,太原,08:20
K602,快速,太原,22:05,忻州,当天23:22,23:27,北京,08:10
K603,快速,北京,17:12,忻州,第2日01:59,02:04,运城,09:55
K604,快速,运城,12:36,忻州,当天20:45,20:49,北京,05:33
K729/K732,快速,广州东,14:50,忻州,第3日00:56,01:00,大同,05:27
K730/K731,快速,大同,14:20,忻州,当天18:44,18:50,广州东,05:26
K7801,快速,大同,08:30,忻州,当天10:29,10:32,太原,11:35
K7802,快速,太原,11:40,忻州,当天12:42,12:45,大同,14:50
K7803,快速,大同,14:30,忻州,当天17:12,17:15,太原,18:30
K7804,快速,太原,08:55,忻州,当天10:10,10:16,大同,13:16
K7807,快速,大同,06:20,忻州,当天10:44,10:48,运城,19:17
K7808,快速,运城,07:50,忻州,当天15:58,16:01,大同,20:12
K892/K893,快速,杭州,19:16,忻州,第2日17:48,17:52,大同,21:02
