车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D6655,动车组,北京南,08:08,徐水,当天09:43,09:45,保定,09:58
D6656,动车组,保定,10:26,徐水,当天10:43,10:46,北京南,12:29
D6657,动车组,北京南,13:00,徐水,当天14:37,14:40,保定,14:58
D6658,动车组,保定,16:15,徐水,当天16:29,16:31,北京南,18:09
D6727/D6730,动车组,秦皇岛,12:34,徐水,当天15:20,15:22,石家庄,17:00
D6728/D6729,动车组,石家庄,07:04,徐水,当天08:59,09:03,秦皇岛,11:36
D6731/D6734,动车组,秦皇岛,12:30,徐水,当天15:22,15:33,石家庄,17:18
D6732/D6733,动车组,石家庄,07:05,徐水,当天08:44,09:03,秦皇岛,11:59
D6735/D6738,动车组,秦皇岛,17:15,徐水,当天20:22,20:24,石家庄,22:18
D6736/D6737,动车组,石家庄,11:42,徐水,当天13:44,13:49,秦皇岛,16:42
K157,快速,北京西,18:12,徐水,当天19:32,19:34,湛江,06:50
K184,快速,南阳,19:39,徐水,第2日09:16,10:01,北京,12:04
K4230,快速,成都,01:39,徐水,第2日20:40,21:27,北京西,23:18
K4267,快速,北京西,23:00,徐水,第2日00:01,00:12,怀化,01:12
K473,快速,北京,16:16,徐水,当天18:06,18:10,昆明,12:14
K5205,快速,北京,17:06,徐水,当天19:21,19:23,石家庄,21:45
K5206,快速,石家庄,10:20,徐水,当天12:11,12:13,北京,14:47
K5255/K5258,快速,天津,14:52,徐水,当天17:10,17:20,石家庄,20:40
K5256,快速,石家庄,09:08,徐水,当天11:06,11:12,天津,13:45
K7707,快速,北京,17:06,徐水,当天19:21,19:23,石家庄,21:45
K7708,快速,石家庄,10:20,徐水,当天12:11,12:13,北京,14:47
K7755/K7758,快速,承德,20:51,徐水,第2日05:40,05:42,石家庄,08:01
K965/K968,快速,张家界,13:40,徐水,第2日15:32,15:36,北京,17:28
K978/K979,快速,石家庄,17:19,徐水,当天19:06,19:17,通辽,12:30
