车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3094,普快,武穴,06:12,阳谷,当天18:08,18:11,北京西,00:15
K106,快速,深圳,10:31,阳谷,第2日10:57,10:59,北京西,16:23
K147,快速,北京西,09:43,阳谷,当天15:46,15:49,阜阳,20:06
K1575/K1578,快速,太原,10:20,阳谷,当天17:12,17:23,福州,11:10
K1576/K1577,快速,福州,17:47,阳谷,第2日14:00,14:02,太原,21:33
K4159,快速,北京西,23:56,阳谷,第2日06:05,06:07,安庆,20:34
K4204,快速,东莞东,12:05,阳谷,第2日16:02,16:05,北京西,21:55
K8315/K8318,快速,菏泽,11:56,阳谷,当天13:15,13:17,济南,15:45
K8316/K8317,快速,济南,16:21,阳谷,当天18:43,18:45,菏泽,20:03
K918/K919,快速,天津,15:36,阳谷,当天21:49,21:55,汉口,11:56
T318/T319,空调特快,天津,15:36,阳谷,当天21:49,21:55,汉口,11:24
