车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3055/3058,普快,上海南,00:50,义乌,当天04:02,04:07,重庆北,12:35
3056/3057,普快,广元,05:00,义乌,第2日19:39,19:44,上海南,23:39
3147,普快,上海南,03:53,义乌,当天07:13,07:18,重庆,22:24
3148,普快,重庆,05:34,义乌,当天23:03,23:07,上海南,02:46
3315/3318,普快,苏州,00:26,义乌,当天05:24,05:27,怀化,04:30
3316/3317,普快,怀化,15:50,义乌,第2日14:53,14:59,苏州,23:06
3335/3338,普快,成都,03:42,义乌,第2日21:08,21:13,宁波,01:38
3336/3337,普快,宁波,06:43,义乌,当天10:26,10:32,成都,04:15
3881,普快,岳阳,23:08,义乌,第2日12:51,12:55,上海南,19:00
D3322,动车组,武夷山东,07:31,义乌,当天09:30,09:32,上海虹桥,11:23
D3323,动车组,上海虹桥,19:09,义乌,当天20:55,20:58,上饶,22:20
D4633,动车组,上海虹桥,19:09,义乌,当天20:55,20:57,南昌西,23:31
D4635,动车组,上海虹桥,18:43,义乌,当天20:31,20:33,南昌西,23:03
D4636,动车组,南昌西,06:43,义乌,当天09:31,09:33,上海虹桥,11:15
D4671,动车组,南京南,19:16,义乌,当天21:34,21:36,鹰潭北,23:31
D5585/D5588,动车组,合肥南,07:33,义乌,当天10:52,10:55,温州南,12:52
D5586/D5587,动车组,温州南,16:33,义乌,当天18:34,18:36,合肥南,22:09
D81/D84,动车组,杭州东,15:10,义乌,当天15:51,15:55,九江,20:04
G1301/G9699,高速动车,上海虹桥,10:23,义乌,当天12:02,12:07,广州南,19:03
G1302,高速动车,广州南,11:23,义乌,当天18:11,18:13,上海虹桥,19:51
G1303,高速动车,上海虹桥,14:10,义乌,当天15:45,15:47,广州南,22:45
G1304,高速动车,广州南,13:24,义乌,当天20:15,20:17,上海虹桥,21:51
G1306,高速动车,广州南,15:39,义乌,当天21:42,21:44,上海虹桥,23:05
G1322,高速动车,贵阳北,09:07,义乌,当天16:37,16:39,上海虹桥,18:22
G1323,高速动车,上海虹桥,08:25,义乌,当天10:05,10:07,贵阳北,17:38
G1325,高速动车,南京南,07:39,义乌,当天11:03,11:05,贵阳北,18:31
G1326,高速动车,贵阳北,11:44,义乌,当天19:11,19:13,上海虹桥,20:56
G1327,高速动车,上海虹桥,11:39,义乌,当天13:23,13:25,贵阳北,21:04
G1328,高速动车,贵阳北,11:54,义乌,当天19:54,19:56,上海虹桥,21:42
G1329,高速动车,上海虹桥,13:42,义乌,当天15:17,15:19,贵阳北,22:37
G1330,高速动车,贵阳北,13:57,义乌,当天21:32,21:34,上海虹桥,23:00
G1331,高速动车,杭州东,14:59,义乌,当天15:33,15:35,贵阳北,23:00
G1332,高速动车,贵阳北,06:52,义乌,当天14:00,14:02,杭州东,14:36
G1341,高速动车,上海虹桥,07:32,义乌,当天09:07,09:09,长沙南,13:14
G1346,高速动车,长沙南,08:00,义乌,当天11:42,11:44,上海虹桥,13:18
G1349,高速动车,上海虹桥,10:48,义乌,当天12:31,12:33,长沙南,16:21
G1352,高速动车,长沙南,10:38,义乌,当天14:30,14:32,上海虹桥,16:06
G1354,高速动车,长沙南,11:40,义乌,当天15:27,15:29,上海虹桥,17:03
G1355,高速动车,上海虹桥,13:47,义乌,当天15:22,15:24,长沙南,19:25
G1361,高速动车,上海虹桥,16:42,义乌,当天18:17,18:19,长沙南,22:13
G1362,高速动车,长沙南,13:25,义乌,当天17:30,17:33,上海虹桥,19:04
G1363,高速动车,上海虹桥,17:09,义乌,当天18:53,18:55,长沙南,22:42
G1364,高速动车,长沙南,16:42,义乌,当天20:46,20:48,上海虹桥,22:20
G1367,高速动车,上海虹桥,18:08,义乌,当天19:52,19:54,萍乡北,23:00
G1368,高速动车,萍乡北,07:43,义乌,当天11:11,11:13,上海虹桥,12:43
G1369,高速动车,上海虹桥,12:40,义乌,当天14:21,14:23,怀化南,20:10
G1370,高速动车,怀化南,09:20,义乌,当天14:58,15:00,上海虹桥,16:38
G1371,高速动车,上海虹桥,07:22,义乌,当天08:57,08:59,昆明南,19:18
G1377,高速动车,南京南,07:39,义乌,当天11:03,11:05,昆明南,21:20
G1379,高速动车,南京南,07:39,义乌,当天10:10,10:16,昆明南,20:19
G1383,高速动车,上海虹桥,06:45,义乌,当天08:27,08:29,南昌西,10:47
G1384,高速动车,南昌西,08:15,义乌,当天10:48,10:50,上海虹桥,12:18
G1386,高速动车,南昌西,10:05,义乌,当天12:30,12:32,常州北,15:04
G1387,高速动车,上海虹桥,12:20,义乌,当天13:55,13:57,南昌西,16:13
G1388,高速动车,南昌西,15:46,义乌,当天18:06,18:08,上海虹桥,19:35
G1389,高速动车,上海虹桥,13:10,义乌,当天14:36,14:38,南昌西,16:42
G1390,高速动车,萍乡北,12:33,义乌,当天15:55,15:59,上海虹桥,17:37
G1393,高速动车,上海虹桥,17:45,义乌,当天19:26,19:28,南昌西,21:42
G1394,高速动车,南昌西,17:55,义乌,当天20:09,20:11,上海虹桥,21:55
G1395,高速动车,上海虹桥,18:28,义乌,当天20:06,20:09,南昌西,22:26
G1403,高速动车,杭州东,07:53,义乌,当天08:32,08:34,广州南,15:37
G1404,高速动车,广州南,15:57,义乌,当天22:51,22:53,杭州东,23:25
G1416/G1417,高速动车,宁波,07:00,义乌,当天08:47,08:49,长沙南,13:04
G1421,高速动车,杭州东,07:31,义乌,当天08:10,08:12,昆明南,18:30
G1431/G1434,高速动车,长沙南,09:50,义乌,当天13:44,13:46,宁波,15:41
G1432/G1433,高速动车,宁波,16:26,义乌,当天18:33,18:35,长沙南,22:31
G1451,高速动车,杭州东,12:32,义乌,当天13:12,13:14,南昌西,15:26
G1456,高速动车,南昌西,12:25,义乌,当天14:53,14:55,杭州东,15:28
G1482,高速动车,长沙南,08:40,义乌,当天12:42,12:44,南京南,14:59
G1483,高速动车,南京南,15:18,义乌,当天17:25,17:27,长沙南,21:41
G1484,高速动车,贵阳北,08:04,义乌,当天15:38,15:40,南京南,17:53
G1492,高速动车,南昌西,08:10,义乌,当天10:16,10:18,南京南,12:38
G1503,高速动车,南京南,08:32,义乌,当天10:38,10:40,南宁东,20:55
G1505,高速动车,南京南,07:20,义乌,当天09:52,09:54,南宁东,19:51
G1507/G1510,高速动车,黄山北,13:50,义乌,当天16:25,16:27,上海虹桥,17:56
G1508/G1509,高速动车,上海虹桥,08:42,义乌,当天10:21,10:23,黄山北,13:13
G1517/G1520,高速动车,黄山北,08:11,义乌,当天10:39,10:42,上海虹桥,12:22
G1518/G1519,高速动车,上海虹桥,18:07,义乌,当天19:52,19:54,黄山北,22:13
G1626,高速动车,南昌西,08:49,义乌,当天11:17,11:19,上海虹桥,12:55
G1628,高速动车,南昌西,12:57,义乌,当天15:45,15:47,上海虹桥,17:21
G1632,高速动车,福州,08:00,义乌,当天11:05,11:07,上海虹桥,12:35
