车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1227/1230,普快,阜新南,16:45,义县,当天17:54,17:58,上海,18:15
2065/2068,普快,承德,07:02,义县,当天15:08,15:16,沈阳,19:40
2066/2067,普快,沈阳,08:20,义县,当天12:08,12:10,承德,21:16
2101/2104,普快,北京北,15:36,义县,第2日05:06,05:08,阜新,06:17
2255/2258,普快,丹东,12:47,义县,当天21:11,21:14,北京,11:32
2256/2257,普快,北京,12:20,义县,第2日01:24,01:27,丹东,10:59
4310,普快,通辽,12:16,义县,当天17:54,17:58,上海,18:15
K5015/K5018,快速,沈阳,21:19,义县,第2日01:52,01:55,凌源,06:05
K5016/K5017,快速,凌源,08:08,义县,当天12:44,12:49,沈阳,17:50
K5052,快速,阜新南,08:40,义县,当天09:49,09:52,山海关,13:34
K5053,快速,锦州,04:08,义县,当天05:03,05:06,阜新南,06:24
K5054,快速,阜新南,20:45,义县,当天21:54,21:57,锦州,22:56
K7328/K7329,快速,沈阳,11:35,义县,当天15:41,15:46,凌源,20:13
K7361/K7364,快速,赤峰,22:23,义县,第2日04:36,04:38,丹东,14:06
K7501,快速,锦州,18:00,义县,当天19:13,19:18,阜新南,20:36
K7502,快速,阜新南,09:21,义县,当天10:30,10:42,锦州,11:36
K7562/K7563,快速,沈阳,10:09,义县,当天14:22,14:26,赤峰,21:35
K915,快速,北京东,20:28,义县,第2日05:41,05:44,阜新南,06:54
K916,快速,阜新南,21:30,义县,当天23:07,23:13,北京东,08:12
