车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D4636,动车组,南昌西,06:43,弋阳,当天07:52,07:54,上海虹桥,11:15
D4671,动车组,南京南,19:16,弋阳,当天23:13,23:16,鹰潭北,23:31
G1353,高速动车,上海虹桥,13:25,弋阳,当天16:29,16:31,长沙南,19:02
G1363,高速动车,上海虹桥,17:09,弋阳,当天20:10,20:12,长沙南,22:42
G1384,高速动车,南昌西,08:15,弋阳,当天09:12,09:14,上海虹桥,12:18
G1386,高速动车,南昌西,10:05,弋阳,当天10:55,10:57,常州北,15:04
G1391,高速动车,常州北,15:29,弋阳,当天19:32,19:34,南昌西,20:26
G1394,高速动车,南昌西,17:55,弋阳,当天18:45,18:47,上海虹桥,21:55
G1395,高速动车,上海虹桥,18:28,弋阳,当天21:32,21:34,南昌西,22:26
G1402,高速动车,广州南,13:02,弋阳,当天18:33,18:38,上饶,18:56
G1405,高速动车,上饶,11:18,弋阳,当天11:35,11:46,广州南,17:28
G1421,高速动车,杭州东,07:31,弋阳,当天09:40,09:42,昆明南,18:30
G1452,高速动车,南昌西,09:17,弋阳,当天10:14,10:16,杭州东,12:11
G1456,高速动车,南昌西,12:25,弋阳,当天13:22,13:24,杭州东,15:28
G1481,高速动车,南京南,11:28,弋阳,当天15:02,15:04,贵阳北,21:28
G1493,高速动车,南京南,13:00,弋阳,当天16:51,16:53,南昌西,17:45
G1582/G1583,高速动车,常州北,15:29,弋阳,当天19:32,19:34,九江,21:30
G1620,高速动车,南昌西,14:10,弋阳,当天15:07,15:09,合肥南,18:22
G1685/G1688,高速动车,厦门北,09:21,弋阳,当天13:58,14:00,贵阳北,20:29
G1686/G1687,高速动车,贵阳北,09:34,弋阳,当天16:11,16:13,厦门北,20:28
G2312/G2313,高速动车,温州南,07:19,弋阳,当天10:05,10:07,长沙南,12:47
G2326/G2327,高速动车,温州南,09:07,弋阳,当天12:13,12:15,南昌西,13:07
G2351/G2354,高速动车,长沙南,14:04,弋阳,当天16:54,16:56,宁波,20:30
G2362/G2363,高速动车,宁波,10:47,弋阳,当天14:15,14:17,贵阳北,20:46
G4744,高速动车,怀化南,15:25,弋阳,当天20:43,20:45,杭州东,22:51
G4761,高速动车,上海虹桥,12:25,弋阳,当天15:25,15:36,南昌西,16:35
G4767,高速动车,南京南,15:27,弋阳,当天19:14,19:16,鹰潭北,19:30
G4774,高速动车,南昌西,08:57,弋阳,当天10:05,10:07,杭州东,12:35
G4775,高速动车,上海虹桥,13:25,弋阳,当天16:29,16:31,南昌西,17:16
G4780,高速动车,南昌西,07:41,弋阳,当天08:38,08:40,南京南,12:55
G4988,高速动车,南昌西,11:06,弋阳,当天12:17,12:19,上海虹桥,15:35
G5003,高速动车,上饶,08:15,弋阳,当天08:32,08:34,南昌西,09:39
G5205/G5208,高速动车,南昌西,13:29,弋阳,当天14:19,14:21,厦门,18:58
G5206/G5207,高速动车,厦门,10:57,弋阳,当天15:58,16:00,南昌西,16:58
G5305/G5308,高速动车,南昌西,07:52,弋阳,当天08:49,08:51,厦门北,13:15
G5306/G5307,高速动车,厦门北,14:04,弋阳,当天18:25,18:34,南昌西,19:32
G9559,高速动车,上饶,16:00,弋阳,当天16:17,16:19,南昌西,17:21
G9575/G9578,高速动车,南昌西,18:29,弋阳,当天19:47,20:09,福州,22:15
G9812/G9813,高速动车,福州,16:26,弋阳,当天18:41,18:43,南昌西,19:47
G9815/G9818,高速动车,南昌西,14:41,弋阳,当天15:38,15:40,福州,17:59
G9816/G9817,高速动车,福州,18:25,弋阳,当天20:30,20:36,南昌西,21:27
G9859,高速动车,上饶,13:32,弋阳,当天13:47,13:49,南昌西,14:48
G9862/G9863,高速动车,福州,19:08,弋阳,当天21:23,21:25,南昌西,22:10
G9981,高速动车,上饶,15:24,弋阳,当天15:41,15:43,南昌西,16:41
G9982,高速动车,南昌西,12:46,弋阳,当天13:47,14:01,上饶,14:19
K1185/K1188,快速,上海南,08:48,弋阳,当天16:45,16:48,九江,21:50
K1370/K1371,快速,苏州,09:08,弋阳,当天19:06,19:09,九江,23:45
K4418,快速,昆明,23:55,弋阳,第3日09:12,09:17,上海南,21:38
K4651/K4654,快速,宁波,02:47,弋阳,当天11:16,11:33,贵阳,09:18
K529/K532,快速,杭州,10:50,弋阳,当天16:21,16:24,成都东,21:18
K5843,快速,玉山,15:51,弋阳,当天17:09,17:21,南昌,20:27
K5844,快速,南昌,10:57,弋阳,当天13:28,13:31,玉山,14:40
K5846/K5847,快速,南昌,18:57,弋阳,当天21:19,21:29,玉山,22:40
K5848,快速,南昌,09:40,弋阳,当天12:36,12:40,玉山,13:46
K5861,快速,玉山,16:00,弋阳,当天17:24,17:27,南昌,20:20
K8713,快速,玉山,08:18,弋阳,当天09:28,09:31,南昌,12:06
K8714,快速,南昌,16:23,弋阳,当天18:58,19:01,玉山,20:10
K8720,快速,鹰潭,14:28,弋阳,当天15:07,15:10,上饶,15:54
K8721,快速,玉山,12:55,弋阳,当天14:05,14:08,南昌,16:38
K8722,快速,南昌,07:27,弋阳,当天10:16,10:19,玉山,11:28
T8004,空调特快,南昌,18:16,弋阳,当天20:36,20:39,玉山,21:43
