车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3055/3058,普快,上海南,00:50,鹰潭,当天09:04,09:20,重庆北,12:35
3056/3057,普快,广元,05:00,鹰潭,第2日13:28,13:43,上海南,23:39
3147,普快,上海南,03:53,鹰潭,当天13:40,13:55,重庆,22:24
3148,普快,重庆,05:34,鹰潭,当天18:14,18:30,上海南,02:46
3315/3318,普快,苏州,00:26,鹰潭,当天10:13,10:30,怀化,04:30
3316/3317,普快,怀化,15:50,鹰潭,第2日09:08,09:33,苏州,23:06
3335/3338,普快,成都,03:42,鹰潭,第2日13:49,14:09,宁波,01:38
3336/3337,普快,宁波,06:43,鹰潭,当天16:21,16:38,成都,04:15
3514,普快,龙南,10:41,鹰潭,当天19:38,19:38,鹰潭,19:38
3872/3873,普快,福州,20:10,鹰潭,第2日09:45,10:07,达州,09:46
3881,普快,岳阳,23:08,鹰潭,第2日07:23,07:41,上海南,19:00
K1076/K1077,快速,重庆北,23:53,鹰潭,第2日22:24,22:30,宁波,06:52
K11/K14,快速,上海南,18:51,鹰潭,第2日03:39,03:45,武昌,11:20
K111,快速,上海南,15:05,鹰潭,第2日00:01,00:14,贵阳,18:26
K1125/K1128,快速,襄阳,13:10,鹰潭,第2日00:41,00:48,上海南,09:41
K1126/K1127,快速,上海南,14:59,鹰潭,当天23:54,00:07,襄阳,11:56
K1185/K1188,快速,上海南,08:48,鹰潭,当天17:28,17:41,九江,21:50
K1186/K1187,快速,九江,16:50,鹰潭,当天21:08,21:14,上海南,07:06
K12/K13,快速,武昌,16:20,鹰潭,当天23:21,23:35,上海南,07:46
K122/K123,快速,上海南,13:40,鹰潭,当天22:04,22:11,十堰,11:30
K1245/K1248,快速,宁波,16:58,鹰潭,第2日01:54,02:00,重庆,09:24
K1249/K1252,快速,重庆,16:00,鹰潭,第2日21:56,22:13,上海南,08:19
K1250/K1251,快速,上海南,11:13,鹰潭,当天19:30,19:40,重庆,23:49
K1256/K1257,快速,温州,20:00,鹰潭,第2日04:33,04:39,成都东,07:46
K135/K138,快速,长沙,18:36,鹰潭,当天23:57,00:09,上海南,09:14
K136/K137,快速,上海南,16:49,鹰潭,第2日00:48,00:59,长沙,07:15
K1370/K1371,快速,苏州,09:08,鹰潭,当天19:50,19:57,九江,23:45
K1373/K1376,快速,上海南,16:49,鹰潭,第2日01:17,01:26,怀化,17:10
K1374/K1375,快速,怀化,15:08,鹰潭,第2日05:54,06:10,上海南,15:13
K149,快速,上海南,08:36,鹰潭,当天16:46,16:56,湛江,14:28
K150,快速,湛江,22:45,鹰潭,第2日21:25,21:40,上海南,06:12
K1546/K1547,快速,福州,21:50,鹰潭,第2日09:02,09:15,佳木斯,04:47
K155,快速,南京,16:23,鹰潭,第2日03:58,04:18,昆明,07:04
K156,快速,昆明,19:18,鹰潭,第2日22:17,22:42,南京,09:48
K1586/K1587,快速,温州,13:47,鹰潭,当天22:26,22:35,武昌,05:55
K1670/K1671,快速,温州,17:50,鹰潭,第2日03:41,03:49,九江,07:18
K181,快速,上海南,18:26,鹰潭,第2日02:41,03:30,韶关东,12:45
K182,快速,韶关东,13:53,鹰潭,当天23:02,23:20,上海南,07:44
K209/K212,快速,宁波,15:05,鹰潭,第2日01:11,01:32,广州,15:04
K210/K211,快速,广州,20:35,鹰潭,第2日07:24,07:44,宁波,16:45
K221/K224,快速,泰州,15:07,鹰潭,第2日04:48,05:02,广州,19:26
K222/K223,快速,广州,08:52,鹰潭,当天22:03,22:22,泰州,12:12
K25,快速,南京,15:40,鹰潭,第2日02:38,03:08,深圳,16:18
K252/K253,快速,上海南,15:37,鹰潭,第2日00:11,00:21,宜昌东,15:21
K26,快速,深圳,12:20,鹰潭,第2日01:01,01:19,南京,14:03
K271,快速,上海南,17:01,鹰潭,第2日01:31,01:40,井冈山,06:10
K272,快速,井冈山,18:13,鹰潭,当天22:57,23:04,上海南,07:46
K287,快速,上海南,20:24,鹰潭,第2日04:41,04:47,南昌,06:24
K288,快速,南昌,20:56,鹰潭,当天22:30,22:36,上海南,06:30
K29/K32,快速,洛阳,13:14,鹰潭,第2日05:47,05:55,福州,13:28
K325/K328,快速,温州,17:15,鹰潭,第2日02:00,02:07,广州,16:30
K326/K327,快速,广州,10:17,鹰潭,当天23:21,23:43,温州,10:00
K33/K36,快速,苏州,18:02,鹰潭,第2日09:23,09:42,深圳,22:33
K34/K35,快速,深圳,12:17,鹰潭,第2日00:48,01:08,苏州,17:05
K351/K354,快速,上海南,15:58,鹰潭,第2日00:45,00:52,成都,04:50
K393/K396,快速,西安,23:58,鹰潭,第2日20:29,20:47,福州,07:10
K394/K395,快速,福州,08:18,鹰潭,当天19:23,19:46,西安,15:05
K4039,快速,鹰潭,13:40,鹰潭,当天13:40,13:40,东莞东,02:56
K4040,快速,赣州,10:48,鹰潭,当天17:10,17:10,鹰潭,17:10
K4065/K4068,快速,厦门,11:15,鹰潭,第2日05:18,05:38,重庆,13:33
K4066/K4067,快速,重庆,21:23,鹰潭,第3日05:52,06:09,厦门,22:47
K4171/K4174,快速,重庆北,07:10,鹰潭,第2日07:55,08:20,杭州,15:24
K4172/K4173,快速,杭州,23:05,鹰潭,第2日05:29,05:45,重庆北,06:20
K4177,快速,上海南,05:11,鹰潭,当天13:57,14:15,贵阳,11:00
K4178,快速,贵阳,12:00,鹰潭,第2日09:29,09:45,上海南,19:35
K4195/K4198,快速,昭通,03:40,鹰潭,第2日08:56,09:16,上海南,20:30
K4197,快速,上海南,22:14,鹰潭,第2日07:17,07:32,贵阳,04:27
K421/K424,快速,成都,11:15,鹰潭,第2日14:09,14:16,宁波,22:22
K422/K423,快速,宁波,07:39,鹰潭,当天15:41,15:48,成都,16:14
K4235,快速,杭州,14:50,鹰潭,当天21:47,22:00,南宁,22:38
K4236,快速,兴义,21:48,鹰潭,第3日06:57,07:12,杭州,13:36
K4249,快速,上海南,21:38,鹰潭,第2日06:53,07:05,贵阳,02:18
K4281,快速,上饶,12:58,鹰潭,当天14:31,14:47,南昌,16:36
K4282,快速,南昌,16:23,鹰潭,当天18:41,18:59,上海南,04:35
K4296/K4297,快速,杭州,00:35,鹰潭,当天07:27,07:41,九江,12:11
K4298,快速,赣州,09:45,鹰潭,当天16:54,17:10,杭州,23:35
K4325/K4328,快速,上海南,04:07,鹰潭,当天13:05,13:23,九江,17:36
K4326,快速,赣州,11:30,鹰潭,当天18:27,18:44,上海南,03:08
K4341,快速,杭州,15:40,鹰潭,当天22:17,22:30,怀化,10:23
K4382/K4383,快速,福州,18:20,鹰潭,第2日07:08,07:23,达州,15:28
K4387/K4390,快速,福州,20:32,鹰潭,第2日06:26,06:49,重庆,09:39
K4388/K4389,快速,广安,00:20,鹰潭,第2日02:11,02:38,福州,19:11
K4395,快速,上海南,09:30,鹰潭,当天17:53,17:53,鹰潭,17:53
K4401/K4404,快速,南昌,18:21,鹰潭,当天20:19,20:35,温州,07:50
K4402/K4403,快速,温州,08:30,鹰潭,当天18:42,19:04,南昌,20:55
K4417,快速,上海南,22:54,鹰潭,第2日07:35,07:49,昆明,15:57
K4418,快速,昆明,23:55,鹰潭,第3日08:16,08:33,上海南,21:38
K4505/K4508,快速,武昌,21:48,鹰潭,第2日07:35,07:52,温州,19:30
K4521,快速,上海南,23:40,鹰潭,第2日09:43,10:00,宜昌东,03:41
K4522,快速,宜昌东,17:00,鹰潭,第2日11:49,12:04,上海南,21:51
