车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
7505,普慢,兰州,17:23,永登,当天19:41,19:44,武威南,22:28
7506,普慢,武威南,10:50,永登,当天14:47,14:50,兰州,16:47
K9667/K9670,快速,兰州,17:00,永登,当天18:34,18:36,敦煌,07:13
K9668/K9669,快速,敦煌,18:46,永登,第2日07:39,07:41,兰州,09:15
T4901,空调特快,兰州,09:30,永登,当天10:52,10:54,金昌,13:29
T4902,空调特快,金昌,14:25,永登,当天17:12,17:15,兰州,18:50
T6203,空调特快,兰州,14:30,永登,当天15:51,15:53,武威,17:48
T6204,空调特快,武威,18:25,永登,当天20:20,20:23,兰州,21:50
T6613,空调特快,兰州,08:59,永登,当天10:20,10:22,金昌,13:06
T6614,空调特快,金昌,14:20,永登,当天16:59,17:02,兰州,18:31
T6615,空调特快,兰州,11:41,永登,当天13:07,13:09,金昌,16:07
T9215,空调特快,兰州,11:23,永登,当天12:39,12:51,金昌,15:39
Z6203,直达特快,兰州,14:30,永登,当天15:51,15:53,武威,17:48
Z6204,直达特快,武威,18:25,永登,当天20:20,20:23,兰州,21:50
Z6207,直达特快,兰州,10:20,永登,当天11:41,11:43,张掖,16:19
Z6208,直达特快,张掖,16:55,永登,当天21:27,21:29,兰州,22:56
