车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2671,普快,大同,16:40,永济,第2日05:39,05:41,西安,08:51
2675,普快,临汾,06:30,永济,当天10:16,10:19,华山,12:19
2676,普快,华山,13:20,永济,当天14:42,14:45,临汾,19:15
8165,普快,临汾,07:14,永济,当天12:07,12:10,风陵渡,12:55
8166,普快,风陵渡,13:44,永济,当天14:29,14:32,临汾,19:15
K1886/K1887,快速,张家界,16:16,永济,第2日11:28,11:30,太原,18:30
K237/K240,快速,太原,23:15,永济,第2日06:07,06:10,深圳西,13:40
K2665/K2668,快速,临汾,12:05,永济,当天16:00,16:08,苏州,13:46
K2666/K2667,快速,苏州,15:30,永济,第2日13:17,13:19,临汾,16:23
K690,快速,重庆北,07:47,永济,当天21:22,21:26,太原,05:22
