车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
7005,普慢,榆林,07:50,榆林,当天07:50,07:50,西安,19:56
K1115/K1118,快速,北京西,12:52,榆林,第2日00:53,01:15,包头,06:02
K1116/K1117,快速,包头,19:11,榆林,当天22:58,23:08,北京西,11:45
K1316/K1317,快速,福州,11:50,榆林,第2日23:41,23:51,呼和浩特东,08:30
K1322/K1323,快速,榆林,09:20,榆林,当天09:20,09:20,苏州,15:47
K1324,快速,苏州,17:15,榆林,第3日05:15,05:15,榆林,05:15
K1535,快速,呼和浩特东,13:19,榆林,当天19:45,19:53,重庆北,13:34
K1536,快速,重庆北,11:51,榆林,第2日04:27,04:39,呼和浩特东,11:19
K1673,快速,呼和浩特,21:30,榆林,第2日03:28,03:40,西安,11:08
K1674,快速,西安,18:12,榆林,第2日01:26,01:41,呼和浩特,07:30
K1685/K1688,快速,乌海西,12:04,榆林,当天20:51,21:11,西安,04:56
K195,快速,呼和浩特东,08:50,榆林,当天14:52,15:02,成都东,12:11
K4315,快速,呼和浩特东,19:59,榆林,第2日01:33,01:53,福州,16:18
K655/K658,快速,呼和浩特东,16:34,榆林,当天22:40,22:50,杭州,06:06
K656/K657,快速,杭州,21:35,榆林,第3日05:09,05:28,呼和浩特东,12:12
K8165,快速,榆林,23:20,榆林,当天23:20,23:20,宝鸡,08:53
K8169,快速,神木,08:20,榆林,当天10:19,10:31,西安,17:06
K8170,快速,西安,23:00,榆林,第2日05:35,05:52,神木,07:35
K8181,快速,榆林,08:43,榆林,当天08:43,08:43,西安,16:05
K8182,快速,西安,23:33,榆林,第2日06:22,06:22,榆林,06:22
K8184,快速,安康,17:46,榆林,第2日07:25,08:00,神木,10:00
K8189,快速,神木,12:50,榆林,当天14:30,14:42,西安,22:41
K8190,快速,杨陵,21:53,榆林,第2日07:20,08:00,神木,09:55
K8191,快速,神木,12:50,榆林,当天14:30,14:42,西安,22:41
K8192,快速,杨陵,21:53,榆林,第2日07:20,08:00,神木,09:55
K8196/K8197,快速,神木,21:36,榆林,当天23:23,23:35,宝鸡,11:03
K8204,快速,安康,18:45,榆林,第2日06:08,06:32,神木,09:12
Z267/Z270,直达特快,呼和浩特东,10:10,榆林,当天15:59,16:14,上海,11:59
Z268/Z269,直达特快,上海,14:55,榆林,第2日11:45,11:56,呼和浩特东,17:54
