车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2671,普快,大同,16:40,运城,第2日04:49,04:55,西安,08:51
2672,普快,西安,22:53,运城,第2日02:37,02:43,大同,15:27
2675,普快,临汾,06:30,运城,当天09:04,09:10,华山,12:19
2676,普快,华山,13:20,运城,当天16:28,16:32,临汾,19:15
4627,普快,临汾,09:42,运城,当天12:01,12:01,运城,12:01
4628,普快,运城,11:00,运城,当天11:00,11:00,临汾,13:02
6845,普慢,临汾,07:08,运城,当天10:31,10:31,运城,10:31
8165,普快,临汾,07:14,运城,当天10:44,10:49,风陵渡,12:55
8166,普快,风陵渡,13:44,运城,当天15:42,15:47,临汾,19:15
8845,普快,临汾,07:08,运城,当天10:31,10:31,运城,10:31
K1886/K1887,快速,张家界,16:16,运城,第2日12:16,12:20,太原,18:30
K237/K240,快速,太原,23:15,运城,第2日05:17,05:23,深圳西,13:40
K2665/K2668,快速,临汾,12:05,运城,当天14:46,14:54,苏州,13:46
K2666/K2667,快速,苏州,15:30,运城,第2日14:06,14:10,临汾,16:23
K603,快速,北京,17:12,运城,第2日09:55,09:55,运城,09:55
K604,快速,运城,12:36,运城,当天12:36,12:36,北京,05:33
K690,快速,重庆北,07:47,运城,当天22:24,22:30,太原,05:22
K7807,快速,大同,06:20,运城,当天19:17,19:17,运城,19:17
K7808,快速,运城,07:50,运城,当天07:50,07:50,大同,20:12
K866/K867,快速,运城,13:32,运城,当天13:32,13:32,唐山,07:12
