车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2083,普快,大连,08:49,扎兰屯,第2日03:08,03:11,海拉尔,09:22
2685/2688,普快,满洲里,10:39,扎兰屯,当天18:36,18:38,丹东,13:48
2686/2687,普快,丹东,16:20,扎兰屯,第2日10:48,10:52,满洲里,19:46
K274/K275,快速,呼和浩特,21:51,扎兰屯,第3日06:18,06:20,满洲里,14:00
K4729,快速,北京,22:36,扎兰屯,第3日02:43,02:45,海拉尔,08:00
K5162/K5163,快速,扎兰屯,05:52,扎兰屯,当天05:52,05:52,依安,10:27
K5181,快速,齐齐哈尔,05:53,扎兰屯,当天08:43,08:43,扎兰屯,08:43
K5182,快速,扎兰屯,16:55,扎兰屯,当天16:55,16:55,齐齐哈尔,20:02
K5195,快速,齐齐哈尔,21:43,扎兰屯,第2日00:23,00:25,海拉尔,05:42
K5196,快速,海拉尔,07:10,扎兰屯,当天12:41,12:43,齐齐哈尔,15:36
K7055,快速,齐齐哈尔,22:40,扎兰屯,第2日01:32,01:36,海拉尔,07:02
K7056,快速,海拉尔,22:06,扎兰屯,第2日03:04,03:10,齐齐哈尔,06:18
K7140,快速,海拉尔,12:40,扎兰屯,当天17:45,17:50,齐齐哈尔,20:57
K7181,快速,哈尔滨西,17:18,扎兰屯,当天23:15,23:19,海拉尔,04:16
K7249,快速,齐齐哈尔,15:47,扎兰屯,当天19:00,19:00,扎兰屯,19:00
