车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3971/3974,普快,萍乡,10:40,樟树,当天13:04,13:08,广州东,04:30
K1191,快速,南京,19:50,樟树,第2日06:40,06:44,南宁,23:40
K1192,快速,南宁,15:08,樟树,第2日07:21,07:25,南京,18:29
K1236,快速,昆明,12:49,樟树,第2日14:11,14:15,九江,17:02
K150,快速,湛江,22:45,樟树,第2日19:20,19:31,上海南,06:12
K1523,快速,九江,13:06,樟树,当天16:08,16:12,南宁,11:04
K1524,快速,南宁,14:30,樟树,第2日07:35,07:38,九江,10:16
K1555/K1558,快速,南宁,21:40,樟树,第2日14:34,14:38,上海,06:13
K302,快速,广州,21:06,樟树,第2日08:00,08:10,徐州,21:10
K333/K336,快速,厦门,18:40,樟树,第2日07:18,07:22,重庆北,05:30
K334/K335,快速,重庆北,13:20,樟树,第2日08:50,08:54,厦门,20:50
K4215,快速,南昌,09:57,樟树,当天11:25,11:32,广州,23:28
K4249,快速,上海南,21:38,樟树,第2日09:03,09:08,贵阳,02:18
K4670/K4671,快速,上海南,01:36,樟树,当天13:51,13:55,贵阳,08:06
K476/K477,快速,贵阳,15:20,樟树,第2日07:47,07:51,福州,21:04
K527,快速,南京,14:38,樟树,第2日06:23,06:35,广州,18:48
K528,快速,广州,07:45,樟树,当天18:41,18:44,南京,08:16
K581/K584,快速,宁波,08:16,樟树,当天18:31,18:34,南宁,12:18
K582/K583,快速,南宁,21:55,樟树,第2日19:10,19:13,宁波,06:17
K5853,快速,九江,13:50,樟树,当天17:20,17:24,萍乡,19:47
K5854,快速,萍乡,20:54,樟树,当天23:01,23:15,南昌,00:30
K5855,快速,南昌,05:30,樟树,当天07:28,07:31,萍乡,10:20
K5856,快速,萍乡,13:27,樟树,当天15:44,15:47,南昌,16:50
K5857,快速,南昌,10:09,樟树,当天11:22,11:25,萍乡,13:46
K5858,快速,萍乡,14:28,樟树,当天16:45,16:48,九江,19:46
K5867,快速,南昌,11:50,樟树,当天12:54,12:57,萍乡,15:28
K5868,快速,萍乡,16:20,樟树,当天18:48,19:03,南昌,21:20
K5891,快速,鹰潭,10:19,樟树,当天12:40,12:43,萍乡,15:08
K5897,快速,南昌,17:06,樟树,当天18:11,18:14,萍乡,20:34
K721/K724,快速,昆明,18:53,樟树,第2日20:22,20:25,南通,11:15
K785/K788,快速,成都东,15:23,樟树,第2日17:33,17:37,南昌,19:18
K786/K787,快速,南昌,12:18,樟树,当天13:31,13:35,成都东,13:27
K831/K834,快速,遵义西,21:53,樟树,第2日19:40,19:50,上海南,05:30
K833,快速,上海南,07:31,樟树,当天17:39,17:44,贵阳,10:07
K846/K847,快速,贵阳,22:20,樟树,第2日15:17,15:21,宁波,05:11
K8717,快速,南昌,10:58,樟树,当天12:03,12:06,萍乡,14:31
K8718,快速,萍乡,15:49,樟树,当天18:12,18:15,南昌,19:30
K8727,快速,南昌,06:53,樟树,当天08:05,08:08,萍乡,10:27
K8728,快速,萍乡,11:42,樟树,当天13:59,14:02,南昌,15:05
K8731,快速,南昌,13:08,樟树,当天14:13,14:16,萍乡,16:41
K8732,快速,萍乡,06:55,樟树,当天09:18,09:21,南昌,10:24
K875/K878,快速,烟台,18:09,樟树,第2日16:48,16:51,昆明,20:33
K945/K948,快速,贵阳,20:56,樟树,第2日13:48,13:51,厦门,07:30
K946/K947,快速,厦门,20:15,樟树,第2日11:41,11:44,贵阳,05:13
T145/T148,空调特快,北京,12:38,樟树,第2日09:30,09:33,南昌,10:34
T146/T147,空调特快,南昌,12:10,樟树,当天13:11,13:14,北京,10:52
T172,空调特快,广州东,18:52,樟树,第2日05:44,05:47,南昌,06:54
T3145,空调特快,北京,07:10,樟树,第2日04:25,04:29,南昌,06:27
