车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
5639,普快,玉屏,08:16,镇远,当天09:29,09:41,贵阳,15:47
5640,普快,贵阳,13:08,镇远,当天18:13,18:34,玉屏,20:17
K109,快速,武昌,09:45,镇远,当天23:41,23:47,昆明,12:20
K111,快速,上海南,15:05,镇远,第2日14:31,14:40,贵阳,18:26
K112,快速,贵阳,09:34,镇远,当天13:30,13:36,上海南,12:47
K1201/K1204,快速,烟台,12:38,镇远,第3日00:57,01:00,贵阳,04:45
K1249/K1252,快速,重庆,16:00,镇远,第2日06:27,06:31,上海南,08:19
K1250/K1251,快速,上海南,11:13,镇远,第2日10:51,10:56,重庆,23:49
K1261,快速,襄阳,21:30,镇远,第2日14:53,14:59,昆明,04:25
K321,快速,合肥,20:42,镇远,第2日16:52,16:58,昆明,05:25
K338,快速,昆明,19:44,镇远,第2日07:25,07:47,郑州,05:09
K434,快速,玉溪,20:40,镇远,第2日13:41,13:51,北京西,22:03
K4418,快速,昆明,23:55,镇远,第2日14:34,14:41,上海南,21:38
K4620/K4621,快速,宜宾,03:07,镇远,当天19:57,20:04,杭州,21:46
K4652/K4653,快速,贵阳,18:10,镇远,当天21:52,22:08,宁波,00:44
K4669/K4672,快速,贵阳,15:37,镇远,当天20:22,20:31,上海南,00:12
K472,快速,昆明,22:25,镇远,第2日13:41,13:51,北京西,22:03
K473,快速,北京,16:16,镇远,第2日23:33,23:38,昆明,12:14
K476/K477,快速,贵阳,15:20,镇远,当天19:02,19:10,福州,21:04
K485/K488,快速,成都东,14:00,镇远,第2日10:09,10:15,深圳,06:00
K495,快速,上海南,19:03,镇远,第2日18:16,18:30,贵阳,22:37
K539,快速,杭州,14:00,镇远,第2日11:38,11:44,贵阳,15:49
K540,快速,贵阳,11:00,镇远,当天14:37,14:43,杭州,12:55
K63/K66,快速,贵阳,13:00,镇远,当天16:56,17:01,广州,10:28
K635/K638,快速,福州,16:08,镇远,第2日17:19,17:29,昆明,08:18
K636/K637,快速,昆明,20:27,镇远,第2日08:51,09:00,福州,10:10
K64/K65,快速,广州,12:10,镇远,第2日05:19,05:25,贵阳,09:22
K845/K848,快速,宁波,11:12,镇远,第2日09:47,09:51,贵阳,13:52
K875/K878,快速,烟台,18:09,镇远,第3日06:34,06:40,昆明,20:33
K942/K943,快速,贵阳,11:15,镇远,当天14:56,15:01,温州,14:27
K945/K948,快速,贵阳,20:56,镇远,第2日00:45,00:51,厦门,07:30
K946/K947,快速,厦门,20:15,镇远,第3日01:10,01:16,贵阳,05:13
