车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
6039/6042,普慢,通辽,08:59,正镶白旗,第2日03:49,03:55,集宁南,08:28
6040/6041,普慢,集宁南,09:28,正镶白旗,当天13:41,13:45,通辽,09:53
K1382/K1383,快速,包头,12:02,正镶白旗,当天20:06,20:12,哈尔滨西,15:22
K1517/K1520,快速,沈阳北,12:33,正镶白旗,第2日05:08,05:14,西宁,08:17
K1518/K1519,快速,西宁,12:20,正镶白旗,第2日15:37,15:43,沈阳北,06:31
K1565/K1568,快速,大连,21:06,正镶白旗,第2日16:56,17:02,包头,00:34
K1566/K1567,快速,包头,12:40,正镶白旗,当天20:53,20:59,大连,19:49
K2011/K2014,快速,呼和浩特,16:10,正镶白旗,当天21:25,21:31,乌兰浩特,12:45
K2012/K2013,快速,乌兰浩特,15:20,正镶白旗,第2日05:47,05:53,呼和浩特,11:41
K4987/K4990,快速,山海关,10:30,正镶白旗,第2日07:11,07:17,包头,16:28
K4988/K4989,快速,包头,17:22,正镶白旗,第2日01:20,01:26,山海关,23:11
K7915/K7918,快速,锡林浩特,21:48,正镶白旗,第2日01:46,01:52,包头,10:06
K7916/K7917,快速,包头,19:10,正镶白旗,第2日02:44,02:50,锡林浩特,06:38
K7919/K7922,快速,锡林浩特,07:21,正镶白旗,当天10:24,10:30,呼和浩特,15:31
K7920/K7921,快速,呼和浩特,13:53,正镶白旗,当天18:42,18:48,锡林浩特,21:45
K895/K898,快速,通辽,12:07,正镶白旗,当天23:48,23:54,包头,08:07
K896/K897,快速,包头,15:10,正镶白旗,当天22:32,22:38,通辽,10:39
