车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2635,普快,呼和浩特,16:03,中宁,第2日02:36,02:39,兰州西,09:32
2636,普快,兰州西,10:48,中宁,当天17:49,17:51,呼和浩特,06:03
7511/7514,普慢,银川,06:20,中宁,当天09:41,09:43,长庆桥,19:34
K1085/K1088,快速,西安,17:38,中宁,第2日06:07,06:10,银川,07:58
K1086/K1087,快速,银川,18:00,中宁,当天20:01,20:09,西安,08:28
K1306/K1307,快速,银川,16:43,中宁,当天19:05,19:09,西安,08:17
K1549/K1552,快速,银川,23:30,中宁,第2日02:11,02:13,重庆,07:39
K359/K362,快速,银川,20:38,中宁,当天22:47,22:49,上海,06:06
K360/K361,快速,上海,09:23,中宁,第2日18:03,18:05,银川,20:04
K4041,快速,北京,09:00,中宁,第2日07:28,07:32,敦煌,21:20
K6801,快速,银川,19:20,中宁,当天21:36,21:38,兰州,05:05
K6802,快速,兰州,20:30,中宁,第2日04:16,04:20,银川,06:00
K6851,快速,银川,12:06,中宁,当天13:40,13:44,中卫,14:26
K815,快速,银川,22:40,中宁,第2日00:37,00:42,西宁,10:08
K816,快速,西宁,19:20,中宁,第2日05:16,05:18,银川,07:01
K9651/K9654,快速,银川,12:06,中宁,当天13:40,13:44,中卫,14:26
K9679,快速,银川,22:40,中宁,第2日00:37,00:42,兰州西,07:19
K9680,快速,兰州西,22:12,中宁,第2日05:16,05:18,银川,07:01
