车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3062/3063,普快,平顶山,13:25,驻马店,当天15:53,15:57,佛山,14:52
3155/3158,普快,奎屯,16:51,驻马店,第4日00:53,01:46,信阳,03:40
3166/3167,普快,周口,19:30,驻马店,当天21:40,21:43,广州东,19:50
3545,普快,漯河,16:43,驻马店,当天17:34,17:46,广州,14:57
3902/3903,普快,汉口,23:59,驻马店,第2日04:39,04:43,乌鲁木齐南,04:29
K4211,快速,郑州,14:58,驻马店,当天18:25,18:29,广州东,15:44
K4212,快速,广州东,16:30,驻马店,第2日15:07,15:11,郑州,18:10
K4253,快速,驻马店,23:58,驻马店,当天23:58,23:58,深圳东,23:20
K4316,快速,汉口,10:40,驻马店,当天14:52,14:59,北京,02:30
K4317,快速,北京,02:23,驻马店,当天14:57,15:04,汉口,20:05
K4318,快速,汉口,08:00,驻马店,当天11:42,11:50,北京,01:18
K4635/K4638,快速,信阳,14:50,驻马店,当天15:48,15:53,郑州,19:34
K4636/K4637,快速,郑州,10:06,驻马店,当天12:35,12:40,信阳,13:48
K4641/K4644,快速,洛阳,12:08,驻马店,当天17:32,17:53,信阳,19:02
K4642/K4643,快速,信阳,20:20,驻马店,当天21:37,21:40,洛阳,02:22
K631/K634,快速,日照,07:22,驻马店,当天21:19,21:22,信阳,22:21
K632/K633,快速,信阳,07:20,驻马店,当天08:27,08:30,日照,21:35
T191/T194,空调特快,乌鲁木齐,17:34,驻马店,第3日08:04,08:07,汉口,11:25
T192/T193,空调特快,汉口,16:56,驻马店,当天20:10,20:15,乌鲁木齐,08:39
T3038,空调特快,汉口,08:24,驻马店,当天12:03,12:13,北京西,23:44
T3039,空调特快,北京西,03:35,驻马店,当天12:38,12:41,汉口,15:49
T3040,空调特快,汉口,07:25,驻马店,当天11:03,11:08,北京西,22:25
T3289,空调特快,北京西,01:30,驻马店,当天11:30,12:00,南宁,11:10
Z292,直达特快,汉口,17:40,驻马店,当天20:30,20:33,乌鲁木齐,08:20
Z4177,直达特快,北京西,23:50,驻马店,第2日08:23,08:29,武昌,12:29
Z4189,直达特快,郑州,09:50,驻马店,当天12:11,12:18,广州,04:23
Z4190,直达特快,广州,12:01,驻马店,第2日05:58,06:13,郑州,08:46
