车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
6260,普慢,富拉尔基,07:35,昂昂溪,当天07:50,07:55,三间房,08:13
6261,普慢,三间房,08:42,昂昂溪,当天08:59,09:03,富拉尔基,09:18
6262,普慢,富拉尔基,10:01,昂昂溪,当天10:16,10:26,三间房,10:43
6263,普慢,三间房,16:29,昂昂溪,当天16:46,16:49,富拉尔基,17:04
6264,普慢,富拉尔基,17:50,昂昂溪,当天18:09,18:11,汤池,18:45
6265,普慢,汤池,20:00,昂昂溪,当天20:35,20:37,富拉尔基,20:53
6266,普慢,富拉尔基,21:24,昂昂溪,当天21:42,21:45,齐齐哈尔,22:16
K19,快速,北京,23:00,昂昂溪,第2日18:43,18:52,满洲里,04:17
K20,快速,满洲里,23:59,昂昂溪,第2日09:10,09:18,北京,05:46
K5108,快速,碾子山,14:03,昂昂溪,当天15:32,15:38,齐齐哈尔,16:34
K5162/K5163,快速,扎兰屯,05:52,昂昂溪,当天08:26,08:28,依安,10:27
K5181,快速,齐齐哈尔,05:53,昂昂溪,当天06:16,06:20,扎兰屯,08:43
K7055,快速,齐齐哈尔,22:40,昂昂溪,当天23:12,23:15,海拉尔,07:02
K7056,快速,海拉尔,22:06,昂昂溪,第2日05:42,05:48,齐齐哈尔,06:18
K7245,快速,齐齐哈尔,05:38,昂昂溪,当天06:06,06:08,碾子山,07:51
K7246,快速,碾子山,08:30,昂昂溪,当天09:56,10:01,齐齐哈尔,10:32
K7247,快速,齐齐哈尔,10:55,昂昂溪,当天11:23,11:25,碾子山,12:52
K7248,快速,碾子山,13:22,昂昂溪,当天14:51,14:58,齐齐哈尔,15:25
K7249,快速,齐齐哈尔,15:47,昂昂溪,当天16:25,16:27,扎兰屯,19:00
K7250,快速,碾子山,19:22,昂昂溪,当天20:53,20:56,齐齐哈尔,21:23
