车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
4031,普快,哈尔滨东,07:44,白奎堡,当天09:14,09:15,黑河,20:28
6253,普慢,香坊,18:34,白奎堡,当天20:19,20:22,绥化,21:12
6254,普慢,绥化,06:20,白奎堡,当天06:57,06:59,香坊,08:27
K7045,快速,哈尔滨东,15:42,白奎堡,当天16:45,16:47,庆安,18:20
K7127,快速,哈尔滨东,07:10,白奎堡,当天07:59,08:00,伊春,13:20
K7134,快速,绥化,17:00,白奎堡,当天17:38,17:54,滨江,19:15
K7202,快速,同江,19:16,白奎堡,第2日06:08,06:39,香坊,07:57
K7220,快速,绥化,14:46,白奎堡,当天15:18,15:20,哈尔滨东,16:50
K7221/K7224,快速,克山,14:15,白奎堡,当天19:44,19:48,哈尔滨东,21:10
K7242,快速,绥化,04:35,白奎堡,当天05:06,05:08,哈尔滨东,06:25
