车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D7103/D7104,动车组,三亚,09:25,白马井,当天12:17,12:18,三亚,14:19
D7110,动车组,三亚,18:12,白马井,当天21:05,21:06,三亚,22:42
D7112,动车组,海口东,08:00,白马井,当天08:58,08:59,海口东,12:45
D7114,动车组,海口东,14:15,白马井,当天15:18,15:19,海口东,19:06
D7116,动车组,海口东,16:40,白马井,当天17:48,17:49,海口东,21:18
D7118,动车组,海口东,19:00,白马井,当天20:03,20:04,海口东,23:44
D7119/D7122,动车组,海口东,11:20,白马井,当天12:43,12:44,三亚,14:48
D7120/D7121,动车组,海口东,11:20,白马井,当天12:43,12:44,三亚,14:48
D7123/D7124,动车组,海口东,19:29,白马井,当天20:52,20:53,三亚,22:57
D7128/D7129,动车组,海口东,19:30,白马井,当天20:41,20:43,三亚,22:24
D7130,动车组,三亚,16:25,白马井,当天17:57,17:58,海口东,19:15
D7141/D7142,动车组,三亚,13:58,白马井,当天17:24,17:25,三亚,19:28
D7143/D7144,动车组,三亚,08:13,白马井,当天11:46,11:47,三亚,13:51
D7154,动车组,三亚,10:25,白马井,当天12:07,12:08,三亚,15:04
D7161/D7162,动车组,三亚,08:15,白马井,当天09:57,09:58,三亚,12:52
D7163/D7164,动车组,海口东,15:30,白马井,当天18:59,19:00,海口东,19:57
D7165/D7166,动车组,海口东,17:40,白马井,当天20:48,20:49,海口东,21:56
D7167,动车组,海口东,18:10,白马井,当天21:52,21:53,海口东,22:55
D7183/D7184,动车组,三亚,08:14,白马井,当天10:16,10:17,三亚,13:41
D7185/D7186,动车组,三亚,14:20,白马井,当天16:17,16:18,三亚,19:47
D7188,动车组,三亚,07:30,白马井,当天09:35,09:36,海口东,10:59
D7190,动车组,三亚,15:10,白马井,当天17:15,17:16,海口东,18:39
D7201,动车组,海口,07:25,白马井,当天08:07,08:08,三亚,09:51
D7202,动车组,三亚,06:50,白马井,当天08:26,08:27,海口,09:15
D7203,动车组,海口,09:30,白马井,当天10:22,10:23,三亚,12:12
D7204,动车组,三亚,09:18,白马井,当天11:15,11:16,海口,12:04
D7205,动车组,海口,12:20,白马井,当天13:02,13:03,三亚,14:51
D7206,动车组,三亚,12:30,白马井,当天14:17,14:18,海口,15:06
D7207,动车组,海口,15:21,白马井,当天16:08,16:09,三亚,17:56
D7208,动车组,三亚,15:12,白马井,当天16:54,16:55,海口,17:48
D7209,动车组,海口,18:05,白马井,当天18:52,18:53,三亚,20:36
D7211,动车组,海口,21:34,白马井,当天22:21,22:22,三亚,23:55
D7212,动车组,三亚,20:59,白马井,当天22:41,22:42,海口,23:25
D7213,动车组,海口,15:10,白马井,当天16:03,16:04,三亚,17:52
D7222,动车组,三亚,11:40,白马井,当天13:32,13:33,海口,14:43
D7223,动车组,海口,14:58,白马井,当天16:07,16:08,三亚,18:05
D7224,动车组,三亚,18:20,白马井,当天20:12,20:13,海口,21:23
D7225,动车组,海口,18:55,白马井,当天20:04,20:05,三亚,21:58
D7287,动车组,海口,17:30,白马井,当天18:22,18:23,三亚,20:06
D7291,动车组,海口,09:10,白马井,当天09:57,09:58,三亚,11:30
D7295,动车组,海口,09:00,白马井,当天09:47,09:48,三亚,11:20
D7296,动车组,三亚,06:00,白马井,当天07:22,07:23,海口,08:09
