车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
4245,普快,通化,06:31,白山市,当天07:50,07:54,白河,13:16
4246,普快,白河,10:00,白山市,当天15:56,16:03,通化,17:18
4247,普快,通化,17:25,白山市,当天18:53,18:53,白山市,18:53
4349,普快,通化,08:02,白山市,当天09:30,09:35,临江,11:13
4350,普快,临江,11:57,白山市,当天13:43,13:48,通化,15:21
6345,普快,通化,06:39,白山市,当天07:50,07:55,龙井,16:03
6346,普慢,龙井,12:18,白山市,当天21:11,21:19,通化,22:22
K430/K7430,快速,白山市,15:12,白山市,当天15:12,15:12,北京,10:27
K5055/K5058,快速,图们,07:31,白山市,当天20:13,20:21,通化,21:38
K5056/K5057,快速,通化,05:55,白山市,当天07:06,07:14,图们,18:10
K5061/K5064,快速,通化,07:22,白山市,当天08:25,08:33,靖宇,13:26
K5062/K5063,快速,靖宇,14:00,白山市,当天18:34,18:42,通化,19:45
K5087,快速,沈阳北,15:53,白山市,第2日02:07,02:13,松江河,05:05
K5088,快速,松江河,16:15,白山市,当天19:19,19:25,沈阳北,05:02
K5089,快速,通化,20:05,白山市,当天21:17,21:25,白河,05:32
K5090,快速,白河,06:41,白山市,当天12:45,12:55,通化,14:21
K5097,快速,沈阳北,16:55,白山市,第2日02:37,02:43,白河,07:35
K5098,快速,白河,19:58,白山市,第2日00:38,00:43,沈阳北,10:42
K7387/K7390,快速,靖宇,06:58,白山市,当天11:56,12:05,吉林,22:52
K7388/K7389,快速,吉林,13:26,白山市,第2日00:32,00:40,靖宇,05:05
K7391/K7394,快速,白山市,21:45,白山市,当天21:45,21:45,吉林,08:45
K7395/K7398,快速,白河,23:10,白山市,第2日03:53,03:59,沈阳,12:30
K7396/K7397,快速,沈阳,09:11,白山市,当天17:30,17:35,白河,22:29
K7511,快速,大连,14:00,白山市,第2日04:49,04:59,白河,09:15
K7512,快速,白河,17:35,白山市,当天22:07,22:12,大连,12:58
K7525,快速,通化,13:20,白山市,当天14:23,14:23,白山市,14:23
