车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D281/D284,动车组,郑州,14:20,蚌埠南,当天18:30,18:35,上海虹桥,22:13
D291/D294,动车组,郑州,09:02,蚌埠南,当天13:32,13:41,上海虹桥,15:49
D292/D293,动车组,上海虹桥,16:10,蚌埠南,当天18:51,18:57,郑州,23:01
D5431,动车组,徐州东,07:21,蚌埠南,当天08:09,08:15,温州南,16:02
G103,高速动车,北京南,07:05,蚌埠南,当天10:42,10:45,上海虹桥,12:42
G108,高速动车,上海虹桥,07:20,蚌埠南,当天09:32,09:34,北京南,13:11
G114,高速动车,上海虹桥,08:10,蚌埠南,当天10:32,10:38,北京南,14:12
G116,高速动车,上海虹桥,09:34,蚌埠南,当天11:45,11:51,北京南,15:23
G1212/G1213,高速动车,长春,08:57,蚌埠南,当天17:59,18:08,上海虹桥,20:20
G1230/G1231,高速动车,丹东,11:11,蚌埠南,当天20:19,20:21,上海虹桥,22:30
G124,高速动车,上海虹桥,11:05,蚌埠南,当天13:03,13:05,北京南,16:55
G125,高速动车,北京南,11:10,蚌埠南,当天14:43,14:45,上海虹桥,16:58
G1255/G1258,高速动车,上海虹桥,09:13,蚌埠南,当天11:26,11:28,长春,20:16
G133,高速动车,北京南,12:40,蚌埠南,当天16:13,16:15,上海虹桥,18:35
G134,高速动车,上海虹桥,13:02,蚌埠南,当天15:07,15:10,北京南,18:53
G139,高速动车,北京南,13:40,蚌埠南,当天17:23,17:25,上海虹桥,19:44
G141,高速动车,北京南,14:10,蚌埠南,当天17:46,17:51,上海虹桥,20:07
G142,高速动车,上海虹桥,14:16,蚌埠南,当天16:26,16:28,北京南,20:18
G143,高速动车,北京南,14:31,蚌埠南,当天17:54,17:56,上海虹桥,20:25
G144,高速动车,上海虹桥,14:35,蚌埠南,当天16:45,16:50,北京南,20:29
G153,高速动车,北京南,17:15,蚌埠南,当天20:47,20:49,上海虹桥,22:49
G158,高速动车,上海虹桥,17:34,蚌埠南,当天19:48,19:50,北京南,23:20
G160,高速动车,上海虹桥,17:39,蚌埠南,当天19:53,19:55,北京南,23:28
G161,高速动车,北京南,14:41,蚌埠南,当天18:43,18:45,安庆,21:41
G162,高速动车,安庆,10:12,蚌埠南,当天12:57,12:59,北京南,16:43
G1673,高速动车,徐州东,06:58,蚌埠南,当天07:41,07:43,厦门北,14:59
G1675,高速动车,徐州东,07:15,蚌埠南,当天07:58,08:00,南昌西,13:39
G1676,高速动车,厦门北,14:52,蚌埠南,当天22:27,22:29,徐州东,23:06
G1731,高速动车,济南西,08:56,蚌埠南,当天11:05,11:23,温州南,15:40
G1732,高速动车,温州南,16:15,蚌埠南,当天21:24,21:26,济南西,23:16
G1741,高速动车,蚌埠南,07:13,蚌埠南,当天07:13,07:13,长沙南,12:26
G1742,高速动车,长沙南,12:45,蚌埠南,当天17:58,17:58,蚌埠南,17:58
G1747,高速动车,蚌埠南,15:39,蚌埠南,当天15:39,15:39,广州南,23:43
G1748,高速动车,广州南,07:22,蚌埠南,当天15:09,15:09,蚌埠南,15:09
G1801/G1804,高速动车,郑州东,07:35,蚌埠南,当天10:17,10:19,上海虹桥,12:19
G1806/G1807,高速动车,上海虹桥,09:29,蚌埠南,当天11:34,11:36,郑州东,14:00
G1818/G1819,高速动车,上海虹桥,14:40,蚌埠南,当天16:55,16:57,郑州东,19:30
G1822/G1823,高速动车,上海虹桥,15:40,蚌埠南,当天18:02,18:08,洛阳龙门,21:24
G1826/G1827,高速动车,上海虹桥,18:20,蚌埠南,当天21:07,21:09,郑州东,23:28
G1862/G1863,高速动车,杭州东,07:58,蚌埠南,当天10:18,10:23,郑州东,12:50
G1865/G1868,高速动车,郑州东,14:41,蚌埠南,当天17:08,17:11,宁波,21:38
G1874/G1875,高速动车,杭州东,07:15,蚌埠南,当天09:36,09:39,兰州西,18:14
G1877/G1880,高速动车,西安北,16:30,蚌埠南,当天21:27,21:29,合肥南,22:25
G1878/G1879,高速动车,合肥南,06:55,蚌埠南,当天07:52,07:56,西安北,12:56
G1885/G1888,高速动车,西安北,14:27,蚌埠南,当天19:40,19:42,南京南,20:26
G1889/G1892,高速动车,郑州东,08:07,蚌埠南,当天10:51,10:53,杭州东,13:20
G1890/G1891,高速动车,杭州东,16:52,蚌埠南,当天19:10,19:12,郑州东,21:54
G1898/G1899,高速动车,义乌,15:54,蚌埠南,当天18:34,18:37,西安北,23:18
G1905/G1908,高速动车,郑州东,06:30,蚌埠南,当天09:13,09:15,福州,15:00
G1906/G1907,高速动车,福州,15:22,蚌埠南,当天20:31,20:33,郑州东,23:07
G1912/G1913,高速动车,上海虹桥,06:17,蚌埠南,当天08:29,08:32,兰州西,16:55
G1915/G1918,高速动车,西安北,09:29,蚌埠南,当天14:24,14:25,上海虹桥,16:32
G1920/G1921,高速动车,上海虹桥,09:18,蚌埠南,当天11:30,11:32,西安北,16:56
