车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2561,动车组,太原南,09:23,宝鸡南,当天14:05,14:05,宝鸡南,14:05
D2562,动车组,宝鸡南,15:00,宝鸡南,当天15:00,15:00,太原南,20:09
D2563,动车组,太原南,12:11,宝鸡南,当天17:01,17:01,宝鸡南,17:01
D2565,动车组,太原南,15:00,宝鸡南,当天19:30,19:32,兰州西,21:42
D2566,动车组,兰州西,08:40,宝鸡南,当天10:46,10:50,太原南,15:31
D2567,动车组,太原南,07:48,宝鸡南,当天12:38,12:40,兰州西,14:50
D2568,动车组,兰州西,15:00,宝鸡南,当天17:06,17:10,太原南,21:37
D2569,动车组,太原南,13:34,宝鸡南,当天18:26,18:28,西宁,21:57
D2651,动车组,西安北,08:00,宝鸡南,当天08:55,08:57,兰州西,11:07
D2652,动车组,兰州西,08:00,宝鸡南,当天10:06,10:09,西安北,11:10
D2653,动车组,西安北,08:42,宝鸡南,当天09:37,09:39,兰州西,11:56
D2654,动车组,兰州西,08:32,宝鸡南,当天10:37,10:43,西安北,11:38
D2655,动车组,西安北,11:30,宝鸡南,当天12:26,12:28,兰州西,14:38
D2656,动车组,兰州西,09:03,宝鸡南,当天11:08,11:12,西安北,12:10
D2657,动车组,西安北,12:00,宝鸡南,当天12:55,12:58,兰州西,15:08
D2658,动车组,兰州西,09:26,宝鸡南,当天11:35,11:39,西安北,12:40
D2659,动车组,西安北,12:30,宝鸡南,当天13:25,13:27,兰州西,15:39
D2660,动车组,兰州西,11:33,宝鸡南,当天13:40,13:44,西安北,14:39
D2661,动车组,西安北,15:40,宝鸡南,当天16:29,16:31,兰州西,18:37
D2662,动车组,兰州西,12:19,宝鸡南,当天14:31,14:35,西安北,15:30
D2663,动车组,西安北,18:40,宝鸡南,当天19:35,19:37,兰州西,21:49
D2664,动车组,兰州西,15:18,宝鸡南,当天17:18,17:22,西安北,18:17
D2665,动车组,西安北,19:20,宝鸡南,当天20:15,20:17,兰州西,22:27
D2666,动车组,兰州西,15:35,宝鸡南,当天17:41,17:45,西安北,18:46
