车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3736/3737,普快,深圳西,22:45,巴中,第3日07:22,07:22,巴中,07:22
K9411,快速,巴中,17:03,巴中,当天17:03,17:03,重庆北,22:35
K9412/K9413,快速,重庆北,11:02,巴中,当天16:23,16:23,巴中,16:23
K9415,快速,巴中,06:59,巴中,当天06:59,06:59,成都,14:01
K9416/K9417,快速,成都东,14:43,巴中,当天22:33,22:33,巴中,22:33
K9501,快速,巴中,20:14,巴中,当天20:14,20:14,成都,06:10
K9502/K9503,快速,成都,23:24,巴中,第2日06:05,06:05,巴中,06:05
K9505/K9508,快速,巴中,06:45,巴中,当天06:45,06:45,万州,12:14
K9506/K9507,快速,万州,13:04,巴中,当天19:34,19:34,巴中,19:34
K9512/K9513,快速,广安,12:07,巴中,当天16:33,16:33,巴中,16:33
