车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2021,动车组,天津西,10:32,霸州西,当天11:08,11:11,太原南,14:15
D2022,动车组,太原南,14:43,霸州西,当天18:08,18:10,天津西,18:46
D6655,动车组,北京南,08:08,霸州西,当天09:02,09:04,保定,09:58
D6656,动车组,保定,10:26,霸州西,当天11:27,11:29,北京南,12:29
D6657,动车组,北京南,13:00,霸州西,当天13:56,13:58,保定,14:58
D6658,动车组,保定,16:15,霸州西,当天17:12,17:14,北京南,18:09
D6724,动车组,石家庄,07:15,霸州西,当天08:50,08:52,天津西,09:29
D6725,动车组,天津西,19:06,霸州西,当天19:41,19:43,石家庄,21:18
D6728/D6729,动车组,石家庄,07:04,霸州西,当天09:35,09:37,秦皇岛,11:36
D6732/D6733,动车组,石家庄,07:05,霸州西,当天09:35,09:37,秦皇岛,11:59
G1261/G1264,高速动车,郑州东,08:07,霸州西,当天11:49,11:51,哈尔滨西,19:19
G1275/G1278,高速动车,武汉,08:55,霸州西,当天14:39,14:43,哈尔滨西,22:08
G1285/G1288,高速动车,沈阳北,14:41,霸州西,当天19:16,19:19,郑州东,22:49
G1297/G1300,高速动车,沈阳,13:23,霸州西,当天18:20,18:23,石家庄,19:42
G1298/G1299,高速动车,石家庄,07:10,霸州西,当天08:29,08:31,沈阳,13:03
G1705/G1708,高速动车,太原南,13:16,霸州西,当天15:56,15:58,济南西,18:43
G1709,高速动车,天津西,08:05,霸州西,当天08:40,08:42,西安北,14:12
G1711,高速动车,天津西,16:05,霸州西,当天16:42,16:45,西安北,22:16
G2602/G2603,高速动车,太原南,07:43,霸州西,当天10:32,10:37,沈阳北,15:14
G2606/G2607,高速动车,太原南,08:33,霸州西,当天11:15,11:17,秦皇岛,13:40
G2609,高速动车,天津西,10:32,霸州西,当天11:08,11:11,太原南,14:15
G2610,高速动车,太原南,14:43,霸州西,当天17:30,17:32,天津西,18:08
G2625/G2628,高速动车,大连北,08:12,霸州西,当天13:41,13:45,武汉,19:12
G2626/G2627,高速动车,武汉,07:33,霸州西,当天12:56,12:57,大连北,18:42
G291/G294,高速动车,长沙南,08:47,霸州西,当天16:07,16:09,天津,16:56
G364,高速动车,武汉,07:49,霸州西,当天13:26,13:28,天津西,13:58
G365,高速动车,天津西,14:51,霸州西,当天15:20,15:22,武汉,20:41
G4361/G4364,高速动车,秦皇岛,15:32,霸州西,当天17:48,17:51,郑州东,21:12
G4362/G4363,高速动车,郑州东,09:25,霸州西,当天12:44,12:48,秦皇岛,15:04
G4385/G4388,高速动车,大连北,13:42,霸州西,当天19:16,19:19,郑州东,22:49
G6272/G6273,高速动车,邯郸东,09:56,霸州西,当天12:10,12:12,秦皇岛,14:43
G6274/G6275,高速动车,秦皇岛,15:08,霸州西,当天17:33,17:36,邯郸东,19:55
G6280/G6281,高速动车,秦皇岛,11:50,霸州西,当天13:48,13:50,邯郸东,16:25
G6282,高速动车,邯郸东,17:05,霸州西,当天19:19,19:21,天津西,19:57
G6284/G6285,高速动车,邯郸东,08:15,霸州西,当天10:17,10:19,秦皇岛,12:20
G6286/G6287,高速动车,秦皇岛,13:52,霸州西,当天15:53,15:55,邯郸东,18:04
G6292,高速动车,邯郸东,12:45,霸州西,当天15:08,15:10,天津西,15:46
G6293,高速动车,天津西,16:18,霸州西,当天16:53,16:55,石家庄,18:29
