车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K4125,快速,北京东,03:14,北京东,当天03:14,03:14,赤峰,14:27
K4126,快速,赤峰,13:45,北京东,第2日01:20,01:20,北京东,01:20
K7751/K7754,快速,承德,07:49,北京东,当天13:10,13:46,石家庄,18:48
K7782,快速,燕郊,07:25,北京东,当天07:52,07:52,北京东,07:52
K7783,快速,北京东,08:35,北京东,当天08:35,08:35,蓟州,09:32
K7784,快速,蓟州,10:08,北京东,当天11:27,11:27,北京东,11:27
K7787,快速,北京东,19:09,北京东,当天19:09,19:09,蓟州,20:11
K7788,快速,蓟州,20:52,北京东,当天22:09,22:09,北京东,22:09
K915,快速,北京东,20:28,北京东,当天20:28,20:28,阜新南,06:54
K916,快速,阜新南,21:30,北京东,第2日08:12,08:12,北京东,08:12
K978/K979,快速,石家庄,17:19,北京东,当天22:10,22:40,通辽,12:30
Y511/Y514,旅游列车,承德,13:13,北京东,当天18:01,18:41,邯郸,01:17
Y521,旅游列车,北京东,10:50,北京东,当天10:50,10:50,怀柔北,12:15
Y522,旅游列车,怀柔北,17:56,北京东,当天19:22,19:22,北京东,19:22
