车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D7101/D7102,动车组,三亚,08:05,博鳌,当天08:59,09:00,三亚,12:45
D7110,动车组,三亚,18:12,博鳌,当天19:07,19:08,三亚,22:42
D7163/D7164,动车组,海口东,15:30,博鳌,当天16:12,16:13,海口东,19:57
D7167,动车组,海口东,18:10,博鳌,当天18:58,18:59,海口东,22:55
D7303,动车组,海口东,07:25,博鳌,当天08:13,08:14,三亚,09:06
D7313,动车组,海口东,09:33,博鳌,当天10:20,10:21,三亚,11:13
D7314,动车组,三亚,09:48,博鳌,当天10:42,10:43,海口东,11:29
D7323,动车组,海口东,11:48,博鳌,当天12:36,12:37,三亚,13:35
D7326,动车组,三亚,13:00,博鳌,当天13:49,13:50,海口东,14:35
D7329,动车组,海口东,13:00,博鳌,当天13:43,13:44,三亚,14:42
D7336,动车组,三亚,15:00,博鳌,当天15:49,15:50,海口东,16:41
D7346,动车组,三亚,17:00,博鳌,当天17:54,17:55,海口东,18:41
D7351,动车组,海口东,20:15,博鳌,当天21:08,21:09,三亚,22:01
D7356,动车组,三亚,19:55,博鳌,当天20:44,20:45,海口东,21:40
D7366,动车组,三亚,09:15,博鳌,当天10:15,10:16,海口东,11:05
D7367,动车组,海口,14:55,博鳌,当天16:00,16:01,三亚,16:53
