车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1147/1150,普快,连云港东,16:15,蔡家坡,第2日09:55,09:58,宝鸡,10:36
1148/1149,普快,宝鸡,16:00,蔡家坡,当天16:30,16:33,连云港东,09:52
3030/3031,普快,库尔勒,17:05,蔡家坡,第3日09:03,09:06,襄阳,09:56
3902/3903,普快,汉口,23:59,蔡家坡,第2日19:40,19:43,乌鲁木齐南,04:29
3927,普快,商丘,07:33,蔡家坡,当天20:32,20:35,乌鲁木齐南,06:18
K1025/K1028,快速,兰州,23:56,蔡家坡,第2日08:24,08:26,青岛,07:48
K1040/K1041,快速,宁波,12:54,蔡家坡,第2日14:09,14:12,兰州,21:18
K1085/K1088,快速,西安,17:38,蔡家坡,当天19:12,19:14,银川,07:58
K1086/K1087,快速,银川,18:00,蔡家坡,第2日06:41,06:43,西安,08:28
K1122/K1123,快速,绍兴,09:16,蔡家坡,第2日09:14,09:22,宝鸡,10:19
K119,快速,西安,22:27,蔡家坡,当天23:52,23:54,兰州,06:40
K177,快速,郑州,15:30,蔡家坡,当天23:52,23:54,西宁,09:43
K245/K248,快速,扬州,10:33,蔡家坡,第2日08:25,08:43,成都,23:15
K2629,快速,西安,23:25,蔡家坡,第2日00:57,00:59,乌鲁木齐,08:50
K2630,快速,乌鲁木齐,20:53,蔡家坡,第3日05:07,05:16,西安,06:54
K4099,快速,西安,20:20,蔡家坡,当天21:50,21:53,西宁,07:20
K4100,快速,西宁,22:05,蔡家坡,第2日09:12,09:14,西安,11:07
K4218,快速,成都,22:57,蔡家坡,第2日16:49,16:54,北京西,19:55
K4530,快速,乌鲁木齐,20:53,蔡家坡,第3日05:07,05:16,西安,06:51
K4666/K4667,快速,上海,14:43,蔡家坡,第2日16:44,16:47,乌鲁木齐南,04:51
K4966/K4967,快速,上海,14:43,蔡家坡,第2日16:44,16:47,嘉峪关,11:20
K5,快速,西安,13:20,蔡家坡,当天14:51,14:53,成都,05:26
K6,快速,成都,21:05,蔡家坡,第2日10:47,10:49,西安,12:20
K8153,快速,潼关,16:07,蔡家坡,当天19:55,19:58,宝鸡,20:45
K8154,快速,宝鸡,10:54,蔡家坡,当天11:24,11:27,潼关,15:26
K8155,快速,西安,09:30,蔡家坡,当天11:40,11:44,宝鸡,12:28
K8156,快速,宝鸡,19:45,蔡家坡,当天20:26,20:29,西安,22:10
K8158,快速,宝鸡,14:05,蔡家坡,当天14:41,14:44,西安,16:23
K8159,快速,西安,16:52,蔡家坡,当天18:49,18:52,宝鸡,19:38
K8160,快速,宝鸡,09:49,蔡家坡,当天10:22,10:24,西安,12:07
K8171,快速,西安,12:07,蔡家坡,当天13:58,14:01,宝鸡,14:38
K8172,快速,宝鸡,15:35,蔡家坡,当天16:05,16:07,西安,17:45
K8173,快速,西安,11:38,蔡家坡,当天13:10,13:13,宝鸡,13:57
K8174,快速,宝鸡,14:47,蔡家坡,当天15:23,15:26,西安,17:10
K8196/K8197,快速,神木,21:36,蔡家坡,第2日10:23,10:26,宝鸡,11:03
K8199,快速,西安,10:52,蔡家坡,当天12:59,13:03,宝鸡,13:40
K8205/K8208,快速,安康,08:37,蔡家坡,当天13:58,14:01,宝鸡,14:38
K8210,快速,宝鸡,16:33,蔡家坡,当天17:09,17:12,西安,19:37
K8211,快速,潼关,09:22,蔡家坡,当天13:58,14:07,宝鸡,14:51
K8212,快速,宝鸡,13:30,蔡家坡,当天13:59,14:02,西安,15:32
K8237,快速,潼关,16:17,蔡家坡,当天20:02,20:05,宝鸡,21:42
K8238,快速,宝鸡,10:56,蔡家坡,当天11:26,11:29,潼关,15:32
K879,快速,西安,19:45,蔡家坡,当天21:17,21:19,成都,11:54
T55/T58,空调特快,天津西,14:07,蔡家坡,第2日07:07,07:10,宝鸡,07:45
T7015,空调特快,西安,19:30,蔡家坡,当天20:55,20:59,宝鸡,21:35
T7018,空调特快,宝鸡,11:30,蔡家坡,当天11:57,11:59,西安,13:27
T7019,空调特快,西安,14:00,蔡家坡,当天15:21,15:23,宝鸡,15:58
T7020,空调特快,宝鸡,16:38,蔡家坡,当天17:05,17:08,西安,18:54
T7021,空调特快,西安,08:35,蔡家坡,当天10:05,10:09,宝鸡,10:44
T7022,空调特快,宝鸡,11:24,蔡家坡,当天11:56,11:59,西安,13:33
T7025,空调特快,延安,15:03,蔡家坡,当天20:55,20:59,宝鸡,21:35
Y291,旅游列车,西安,20:20,蔡家坡,当天21:50,21:53,西宁,07:20
Y292,旅游列车,西宁,22:05,蔡家坡,第2日09:12,09:14,西安,11:07
