车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K5142,快速,鸡西,17:19,柴河,当天20:07,20:09,牡丹江,20:40
K5145,快速,东京城,06:34,柴河,当天08:31,08:33,七台河,13:03
K5146,快速,七台河,15:41,柴河,当天19:47,19:50,牡丹江,20:21
K5147,快速,牡丹江,12:38,柴河,当天13:08,13:10,林口,14:28
K5148,快速,林口,06:59,柴河,当天08:35,08:37,牡丹江,09:08
K7052,快速,鸡西,16:59,柴河,当天19:35,19:37,牡丹江,20:06
K7071,快速,牡丹江,16:37,柴河,当天17:02,17:04,鸡西,20:12
K7072,快速,鸡西,06:38,柴河,当天09:27,09:29,牡丹江,09:58
K7077,快速,牡丹江,07:55,柴河,当天08:20,08:22,东方红,16:07
K7151,快速,牡丹江,12:45,柴河,当天13:15,13:17,林口,14:35
K7152,快速,林口,06:53,柴河,当天08:35,08:37,牡丹江,09:06
K7229,快速,东京城,06:39,柴河,当天08:55,08:58,七台河,13:49
K7230,快速,七台河,15:38,柴河,当天19:48,19:50,牡丹江,20:19
K7265,快速,牡丹江,09:33,柴河,当天09:58,10:03,佳木斯,15:08
K7266,快速,佳木斯,07:00,柴河,当天12:35,12:37,牡丹江,13:06
